,name,date,rating,review
0,"
    flanmcbean
  ","
    Apr 22, 2024
  ",3,"A truly to-the-masses appealing game that took nearly 2 decades of niche but unique stories and ""saved"" the franchise by dumbing it down to oblivion.

It utterly flops in regards to story, characters, and gameplay.

- Story 4/10: The story is divided into 3 parts - and while the first one is fairly decent - the second two are completely trash. The second is entirely disconnected from the plot of the other two and simply just unrelated filler and fanservice, while the third is just a somehow even more cliched and boring version of the standard ""Evil Dragon Cult"" plotline - all centered around the complete void of a ""character"" that is the avatar/Robin

- Gameplay 3/10: Do you sudden ambush spawns that force you to restart the chapter? Do you like a somehow less impactful skill system than the one that came out 15 years before? Do you like sending all your units walking in a straight line down a wide open plain? Then Awakening is the game for you! 

- Characters 2/10: Fire Emblem Awakening is a moving story about a prince trying to redeem himself and his family of his father's crimes, while his daughter desperately tries to save him and her family from a future she barely survived. Together, the bonds of family overcome all, as in trying to tear this father and daughter apart the forces of evil created their own demise.

Is what I'd say if this were a better game. Unfortunately they made Robin/The Avatar a character, starting the worst trend in the franchise (No, Kris and Mark don't count). Robin is as much a ""character"" as a bowl of cold soup. Flavorless, sad, and pointless, **** all creativity and character writing into the void of the avatar - rendering all around them warped in their wake.

Oh right there's other characters... wait no they're all just a loosely collected pile of gimmicks. Great.




If you want a game with a good story, play Thracia. Want a game with good gameplay, play Fates. Want a game with good characters, play 3H.

Don't play this game - but at least its not Blazing Blade."
1,"
    Etheirys
  ","
    Feb 12, 2024
  ",10,"Easily one of the best Fire Emblem games if not THE best fire emblem game in the series it does geneology of the holy war proud, and the biggest sin of the fire emblem series was allowing three houses to ruin an amazing system that awakening expanded upon and wash it over with horribly boring and mundane persona romances."
2,"
    Igl00Man
  ","
    Feb 9, 2024
  ",10,"Fire Emblem Awakening helped revived a stagnating franchise with great visuals, and making it both accessible to newcomers, and challenging enough for veterans. It also honours the rich history of the franchise, by having many callbacks to the long list of characters, and stories since the NES days. A must buy for any strategy RPG fan."
3,"
    Insularis
  ","
    Jan 8, 2024
  ",10,"This game saved the Fire Emblem franchise from death, and while playing through the game, you can really see how much love they put into this game."
4,"
    ChaiPupp
  ","
    Nov 23, 2023
  ",5,I played the game twice and felt absolutly nothing... Lucina is best girl tho. (version 1.0)
5,"
    TheCoffeeTalker
  ","
    Oct 25, 2023
  ",10,"There is nothing I can say about this game that hasn't already been said: The game is perfect in my eyes, and it is the ideal Fire Emblem game. The gameplay mechanics are simple to understand but require time to master, the story is phenomenal, and the amount of content available for the game leaves no stone unturned. The amount of replayability this game has is astronomical, and this game will always be the Fire Emblem I recommend to people when they ask which one they should play first."
6,"
    Pasifull
  ","
    Oct 20, 2023
  ",8,Great writing and gameplay is held back slightly by uneven difficulty and mid-game padding.
7,"
    lostleader
  ","
    Oct 17, 2023
  ",10,"Having spent far too long on what is suppose to be a 40 some hour game, I have to say that I just love Fire Emblem Awakening. While I know my love affair isn't quite the same for the series as some others, I can at least say anyone interested in playing Awakening will have a great time with it. It combines the best elements of the series and improves on them making for a one-two punch for an amazing game"
8,"
    ssj2_shrimp
  ","
    Oct 9, 2023
  ",10,Genuinely one of the best games you can play. The writing is good and the game play even better. The music pops off and the graphics where great for the 3DS.
9,"
    Redbrick
  ","
    Jul 23, 2023
  ",10,"Es el primer juego de la saga fire emblem que he jugado y no me arrepiento hacerlo, para mi es bastante raro meterle 20 horas a un juego en 2 dias y este lo ha conseguido, su historia sin duda es lo que mas me a gustado y yo que venia de juegos de estrategia de pc como total war, me sorprendió el sistema de combate que tenia y mas aun lo me sorprendió lo que me gusto, sin duda lo recomiendo."
10,"
    Gimure
  ","
    Jun 25, 2023
  ",10,"A memorable, innovative game. Great story and fun gameplay. Despite its semplicity, it is capable of exploring deep philosophical themes whilst narrating an engaging and epic tale. The OST is top tier, and the cutscenes are spectacular. Something so ahead of its time that to this day, still feel incredibly modern."
11,"
    tonberry_ftw
  ","
    Jun 24, 2023
  ",10,"They kept the story quite simple, and sometimes, keeping it simple is actually a good thing. It makes you enjoy other aspects of the game more."
12,"
    JustAGameGuy
  ","
    May 14, 2023
  ",7,"A great starting point for a new fire emblem fan, but very mediocre overall. Uninteresting characters, boring map design, mediocre story, etc. The music and customization easily propel this game higher than I would have given it otherwise, but its direct successor both has better music and much more in depth customization, along with better maps"
13,"
    TheGuyWhoHats
  ","
    May 8, 2023
  ",0,"Awakening is a great game but compared to the other games in the franchise it doesn't rank that high. The gameplay is fun but is done better in Engage and Echoes, the story is passable but isn't even able to compare to three houses and sacred stones. The characters are fun but the supports you get with them are mostly mediocore and feels forced in so you can have the children character and most characters don't get supports with characters of the same gender. Awakening overall is a good game and I recommend it but more as a first game than as anything else."
14,"
    Calrizzy
  ","
    Mar 13, 2023
  ",10,"first FE game I ever played and before I knew it I was hooked, love the combat, the strategy the amount of customization, I even went nuts downloading a ton of DLC cause i couldn't get enough, took awhile to get into the story but it's getting more interesting as I play which I like, 40 hours into the game and I'm still learning new things abilities and just insane how much this game has to offer one of the deepest RPGs I've ever played and I'm now a HUGE FIRE EMBLEM FAN.... 10/10"
15,"
    PPko
  ","
    Feb 11, 2023
  ",8,"Probably the deepest and prettiest SRPG I've played. The rules are simple but it gets convoluted as more systems get layered on. Keeping track of every unit during the large-scale battles ends up a bit of a chore. The music is fine and the graphics are beautiful. Most of the character designs are great but their portrayals are generally pretty flat. I put too much pressure on myself to complete every battle perfectly. Personally, I prefer Advance Wars where the stakes aren't so high!"
16,"
    Plumbo2000
  ","
    Jan 29, 2023
  ",8,In retrospect it was very overrated but it's still an excellent entry point into the series.
17,"
    Rellawintv
  ","
    Jan 28, 2023
  ",9,[SPOILER ALERT: This review contains spoilers.]
18,"
    klaaz
  ","
    Jan 25, 2023
  ",10,"The best fire emblem and a must for 3DS, modernizes the saga and raises the mechanics that are the basis of the following installments."
19,"
    cloudydays
  ","
    Jan 18, 2023
  ",10,"I have not finished the game yet and I am already ecstatic for another playthrough as I am realizing things I missed/could have done differently. Fire Emblem series are gems and this one really shines, All of the possible combinations and support conversations/relationships, I really can't wait to explore even more. The lore in this game and the interactions really immerse you. I truly love the characters. 10/10 for me. Not to mention I haven't played around with the DLC much yet. I can't wait."
20,"
    katieelizabeth
  ","
    Jan 9, 2023
  ",7,"My opinion of Awakening has really changed since launch. I think the game is perfectly fine for the new crop of casual fans. It has more accessibility options than past games, and it features a lot of grinding and over-powered child units that more causal or rpg gamers will enjoy.

But Awakening is not a very good Fire Emblem game. On Normal difficulty, it is far too easy. Any knowledge of who the best characters are, knowledge of how to use pair-up optimally, how and when to use second seals properly, and what classes are good for units to go into will completely trivialize the game on Normal difficulty. No grinding or marriage is necessary.

So this leads me into Hard Mode, which takes a very casual, easy game and transforms it into one of the most unfair and inflexible entries in the entire franchise. Instead of just adding more enemies and increasing the stats to stiffen the challenge, the game features same-turn reinforcements - otherwise known as Ambush Spawns - and these can be brutally unfair as you have no idea how many of these reinforcements are coming, how many waves of them will come, and what types of weapons you will be dealing with. Awakening absolutely loves creating 4-8 new enemy units and moving them on the same turn, and many of these units do high damage and have 1-2 range weapons, making it extremely difficult to protect weaker units despite being safe when you ended your turn. Because of this, the game heavily restricts which characters you can use because most of them will die.

By Chapter 17, the game devolves into using Chrom and Robin the most, where these will probably be the only two units that can survive the random ambushes, turn after turn, because they become so overpowered. Tharja and a few others can also do this, but 90%+ of the characters in the game are basically useless due to poor bases and classes. Even characters like Sumia become liabilities because so many enemies and same-turn reinforcements use Silver Bows and super-effective tomes. To avoid unit losses, you are basically forced not to deploy them at all and solo the game with just a few paired-up characters. It is the least rewarding and least fun way to play the game.

So basically, Normal difficulty is too easy and Hard is way too frustrating and inflexible - there is no middle ground here. Hard mode devolves into just using S-tier characters with over-powered builds that snowball out of control. Any sense of strategy is completely gone, and that is why Awakening is a bad Fire Emblem game.

Normal mode I give a 7, and Hard Mode I give a 0. It's not that Hard Mode is hard - it's easy if you just use Chrom and Robin - but it's incredibly boring and unsatisfying and poorly balanced and unfair when playing blind."
21,"
    Kalcool12
  ","
    Nov 21, 2022
  ",8,"| A Must-Play JRPG |

This is one of my favorite strategy games that have come out, with fun puzzling gameplay, an exciting story, and minor but vital mechanics that lift the game up in quality.

Although the story does slow down for a subplot that was rather unnecessary, I thought (for the most part) it was engaging with the time-traveling mechanic and story turns, that made this story stand out more so than other JRPG stories.

The gameplay was very interesting. The small mechanics that made this turn-based game different really added a lot, from the pairing system, the triangle system, and the skills that really turned the tide in some match-ups... it was all great.

But by far, the best aspect of the game is the character support system. That is what makes this game great. Almost every character is unique, memorable, and interesting. The way the developers did that was great, with great character dialogue and interactions. There are even some characters you want to use not for skill, but for who they are. That's a sign of how well they made some of the characters.

Overall, the game is amazing. It has a few other flaws, from the constant spawning of enemies and the small grind needed when playing in order to beat certain levels with a little more ease. But the game is still amazing and I highly recommend it."
22,"
    hector_bcn98
  ","
    Nov 4, 2022
  ",9,"La muerte no permamente permite disfrutar del mejor Fire Emblem, para mí, hasta la fecha. Si te gusta, te enamorarás del género."
23,"
    B0ssReviews
  ","
    Sep 3, 2022
  ",10,"This was my first fire emblem game and it's still one of my favorite games to this day. The plot and all it's little moments still bring tears to my eyes. The game play is beginner friendly and never fails to give me a good time. While not as complex as other fire emblem games, it's a perfect gateway game."
24,"
    Luccio
  ","
    Jul 12, 2022
  ",8,"Good music, characters, gameplay, overall pretty enjoyable. Its not a super immersive experience but for sure makes its mark on the strategy rpg genre"
25,"
    RobinB
  ","
    May 12, 2022
  ",10,Awakening was the best fire emblem on 3ds. For sure one of the best games on 3ds
26,"
    Phuz
  ","
    Mar 9, 2022
  ",0,"So first let's address the elephant in the room.  Or should I say horse?  Every character has hooves for feet and these huge horse like legs.  They're ugly. They look like they have been kicked by a horse.

Beastiality isn't my thing.  My next waifu being a donkey, doesn't really appeal to me.

Next the battles are awful and I am getting rid of this game after just a short time playing because of it.  I played a side quest, made a silly error early doors and started again.  My first move was identical on my rerun but the outcome was completely different.  I redid this. Started again 4 times.  Every time a different outcome from the same move.  So I tried a different character.  Same thing, random outcome every time.  Then I went a step further with this second character and gave them support.  They actually did worse with the support than without.  Now I am someone who plays Fire Emblem on easy, if the option is available.  I am not a major tactical strategist but come on, it is still a strategy game.  I still love to plan, even if I'm not very good at it.  How can I enjoy a strategy game that is purely down to luck?  That is totally game breaking.  You can't  make a strategy for complete randomness.  It just made the game pointless.

Next, the dialogue.  I like text and I don't like stupid OTT Hollywood cr*p voiceovers.  Give me text any day but please not with a one, or two word audio byte for every line.  I don't want to hear constant nonsense like, hey, you sure, OK, urgh, that's right, let's go, or any other rubbish they spout.

OST.  It's Fire Emblem - It's great.

Graphics?  It's OK.  I like the 3D stuff and it looks nice in general but then everything is totally ruined by forementioned horses.

I'm not some FE purist that only likes old games.  Radiant Dawn was my first FE and 3 House's is my favourite game ever, if anything I prefer newer titles much more but this is just rubbish.

It has just cost me £35, so far it feels more like it's worth about £2, if that.  That is just for the OST.  I'm not really enjoying the game at all.

For reference 3 House's is a 10/10 for me and Radiant Dawn an 8.5+/10.

I feel I would enjoy a 3rd playthrough of 3 House's, or maybe actually playing my 4th house DLC a lot more than I'll ever like this.

No one, absolutely no one is giving me the magic that psycho Edlegard did. She was an exciting character.  These characters in Awakening have left me disinterested in them, I'm really not that bothered to find out what they do next.

Dull, a polished turd, a gee gee's wet dream.  A weird, dull game that sounds beautiful but looks horrific and plays badly."
27,"
    fjaoaoaoao
  ","
    Mar 7, 2022
  ",9,Mature story with many characters to customize and grow. Many characters that feel unique and purposeful in both the story and in battle.
28,"
    ReLawlietV
  ","
    Jan 12, 2022
  ",9,"This is definitely one of the best games the 3DS ever gave us. An entertaining game, with a story full of time travel and a threat that entails a final sacrifice. It has a good soundtrack while you are in the battles and it is definitely the best 3DS title on strategy. 9/10"
29,"
    B00tador
  ","
    Dec 3, 2021
  ",8,"My first in the series - the story drags on a bit, but a fundamentally enjoyable game."
30,"
    KhezuMaster
  ","
    Oct 11, 2021
  ",9,i loved this game  really good and would highly reccomend for anyone who likes turn based rpgs
31,"
    AJCk19
  ","
    Jul 17, 2021
  ",9,"This game is basically perfection. And if you are very fickle about your JRPGs needing to have a good story. Well sit back and relax, because you are in for some nice plot twists.

The only complaints I have is they milked the dlc and it is probably best you get this physically and not digitally. If something happens to your 3ds, there goes your 50+ hours of gameplay. The 3ds has a really bad hinge.

Also, a online mode would have been nice, but not really needed."
32,"
    KNX2501
  ","
    Jul 17, 2021
  ",9,"Excelente juego, sin duda uno de los mejores juegos de la saga de Fire Emblem,"
33,"
    Entagonist
  ","
    Jul 2, 2021
  ",9,"Fire Emblem Awakening, also known as FE13 is a really good game. Still, the story was a mishmash (maybe only in my opinion), but ending of the game was pretty cool. Gameplay was very, very good - as in every canonical Fire Emblem game."
