,name,date,rating,review
0,"
    lostleader
  ","
    Nov 24, 2023
  ",4,"I feel like a doomer for saying this, but Fire Emblem Fates: Birthright was a game meant to solely capitalize on the popularity of Awakening and the mechanics that made it popular. While I don't think repeating trends that made you popular is bad, it is when you don't understand them. Having to marry off each initial character just to get their children that have no significance in the story just feels tone deaf and weakens the story when on chapter 18 you can have next to no one in the story as your team, and yet the story plays out like you did. The fact the royals all have retainers and you slowly get them in clumps rather than every now and again also sets back how special units are, and really drives home that it doesn't feel like the Fire Emblem that we've known before. Further alienating the established fan base is the new found casual mode, which not inherently bad for making the game more accessible, made the devs skip on map testing and caused a lot of problems for classic mode fans. Most of the maps are balanced only if played on casual mode, and with the fact that the last two chapters of this game have to be run through all at once, makes for a super unbalanced mess. It doesn't help that the story falls apart in a number of different areas that you'd think would be filled by playing the other games, but it's simply not. A lot of half baked ideas and plot holes are rampant throughout, but what is probably the biggest problem with this game is the morality between Hoshido and Nohr. Hoshido is blatantly the good guy in this, and Nohr is only framed as bad, and when Nohr needed more supplies, at the end of birthright, Hoshido simply solves it with a simple ""we will help you now"". The fact that so much of this game is trying to send a mixed message while also giving you clearly defined black and whites is maddening, and a big reason why hating Corrin is justified. These games clearly needed to be tested and written out better, but they simply weren't to capitalize on new found popularity, and that's sad when the games had so much potential too.- Don't **** put two chapters back to back with permadeath HOW **** HARD IS THAT TO UNDERSTAND NINTENDO!?"
1,"
    GoldenJeans
  ","
    Oct 11, 2023
  ",8,"Now let's be honest we all jokingly say ""Fates bad haha"" but I genuinely think Birthrout- sorry I mean Birthright is one of the Fire Emblem games of all time.
Game is easy, even on Lunatic. Let's get that out there immediately so if you want a harder FE just go Conquest. Even if the game gives you the strongest character since FE1 Falchion Marth, it's still an actually enjoyable game. Some people don't enjoy Fates writing but Birthright had some amazing moments (so did Conquest but I think some parts, like the Hans map without spoiling were top tier) and some ""this makes no sense moments"".
The units you get in Birthright are fun, but at that point you're probably just using Ryoma, Corrin, Takumi, Hinoka and your favourites.
Overall, really fun game despite its flaws.
8.3/10"
2,"
    Lani337
  ","
    Jan 31, 2023
  ",8,"While being a lot easier than Conquest, it has a good difficulty spike towards the end of the game. The first 20 chapters are a cakewalk though. However, this doesn't mean this game is bad by any means. It can be a very good game to begin with the series. It can be entertaining for intermediate players on lunatic difficulty as well. Solid game"
3,"
    Plumbo2000
  ","
    Jan 29, 2023
  ",6,"It's slightly below average. That's all you can really say about it. If you want gameplay, play Conquest instead. If you want a good Fire Emblem game, play almost anything else."
4,"
    hector_bcn98
  ","
    Nov 4, 2022
  ",8,La vía estándar de los Fire Emblem Fates. Interesante planteamiento de dos visiones de la misma historia.
5,"
    Ninjazk
  ","
    Jul 13, 2022
  ",10,"I love this game ! The gameplay is cool, and the characters are so incredible."
6,"
    ssjkale1987
  ","
    Apr 21, 2022
  ",10,"I did birthright after Conquest since i wanted to play the more challenging version first. Birthright was too easy in comparizon with Conquest, died only twice and was surprised with the story being less interesting than Conquest. Still enjoyable but not as dark as Conquest's story.  What i loved the most in the version are characters that follow your avatar in this story. They are interesting and have good chemistry with the avatar. I'm just surprised and a bit saddened by how some viewers hate the game just because of the story and it's even worse for Birthright. The story isn't the greatest of all fire emblem games but it's decent and some reviews go a little too far

In the end Birthright was inferior to Conquest because ot its story but still very good to play thanks the nice characters."
7,"
    realkinko
  ","
    Nov 5, 2021
  ",6,"Having played Three Houses first, and then Awakening I was excited to continue my journey with Fire Emblem games by playing Fire Emblem Fates (Birthright). Oh, boy, was I disappointed.

The story is probably the worst story I've ever had to suffer through to play through a main campaign. The characters are the weakest set of characters I've ever experienced in a game - period. They're not memorable at all, in fact they're mostly annoying - all of them. The dialogue is absolutely horrendous - even for a 3DS game.

The music.. Well, it's basically one song for the most part and that's a pretty good song, but overall it's pretty lackluster.

How come I'm still giving this game 6/10 despite this criticism? Well obviously, the gameplay is Fire Emblem so it's good - just like in Awakening - and if it hadn't been for that, I would never, ever have played through the entire game. Also the cinematics look pretty dope."
8,"
    KNX2501
  ","
    Jul 17, 2021
  ",8,"Es un buen juego, aunque personalmente creo que esta por debajo de su contraparte Conquest en lo relativo a la historia y a los personajes que fungen como protagonistas principales. También debo notar que la dificultad del juego esta por debajo no solo de las otras dos partes de Fire Emblem Fates sino de otras sagas, posiblemente para apelar a nuevos jugadores."
9,"
    BasilZero
  ","
    Mar 29, 2021
  ",9,"Game:  Fire Emblem Fates Birthright
Genre:  Strategy RPG
Developer: Intelligent Systems
Publisher:  Nintendo
System: Nintendo 3DS (3DS)
Year of Release: 2016
Length of Playthrough: 54 Hours

Total Score: 93/100
Value Score: 9.3/10

• Story: 10/10
• Characters: 10/10
• GamePlay: 10/10
• Graphics: 9/10
• Sound: 7/10
• Music: 8/10
• Length: 10/10
• Replay Value: 9/10
• Player Value: 10/10

Pros
+Great story and character interactions
+Self contained story with a choice that affects characters being available or not
+Marriage system in tact from Awakening
+Art and character design as great as Awakening
+Customizable town system
+Sidequests available that are free and also from marriages
+Plenty of opportunities to grind for exp and money outside of main story battles

Cons
-Voice acting limited compared to Awakening
-Full story divided into two other games and as separate DLC
-Though not needed in this game , there are DLC maps for grinding exp and money

---

Series Scorewise comparison sake

Fire Emblem Awakening (3DS): 94
Fire Emblem Fates Birthright (3DS): 93
Fire Emblem Echoes Shadows of Valentia (3DS): 90"
10,"
    piff2000
  ","
    Dec 29, 2020
  ",7,"The story is weaker than Awakening, but the updates to the mechanics are really cool. I still really like this game!"
11,"
    tukumalu
  ","
    Nov 14, 2020
  ",5,"Predictable plot elements, bland characters and underwhelming maps. Such great potential wasted"
12,"
    Kitsune12354
  ","
    Aug 29, 2020
  ",6,"the gameplay is pretty good, the maps are meh but everything else is great. the story is a 5/10 its the best story of the 3 games"
