,name,date,rating,review
0,"
    Katzoo
  ","
    Apr 25, 2024
  ",9,"Is perfect, the idea to a “new kanto” basically a restart of the Pokemon games wasn’t good in the year ir was release but today the most Pokemon emjoyners know Pokemon white and black and white 2 and black 2 are the bests Pokemon games"
1,"
    Waroi
  ","
    Feb 16, 2024
  ",8,Has the best soundtrack the series hands down. Box legendries are strong. A classic Pokémon experience at its best.
2,"
    JiggilyMiggily
  ","
    Jan 25, 2024
  ",9,"These game often has mixed opinions and I can see why, but I'm on the positive side. One of the biggest complaints is the new Pokemon. There is a fair majority of stinkers, but that is to be expected, especially when the game adds the most amount of new Pokemon in series history. It switches things up by making these new creatures the only ones obtainable, but it does provide a different feel from old games. The game further changes things by showing that Game Freak can, and sometimes want, to give a story to their games. The writing and characters are stellar. The villain is intimidating, and the ending is a memorable one. As with most Pokemon games is the amazing music, as there are a lot of killer songs. The game also looks pretty good for the hardware it's on. Overall, this game does a lot of things right. It has a pretty good selection of Pokemon, with some being among the best in the series. It tells a unique story that works really well with the music, characters, and atmosphere. The game, even outside of Pokemon standards in truly an ""N""credible game."
3,"
    zorakex
  ","
    Dec 6, 2023
  ",10,"This was pokemon at its peak, it started going downhill after this with X/Y, Sun/Moon and don't even get me started on the Switch games"
4,"
    Eyean
  ","
    Nov 29, 2023
  ",8,"The best story Pokémon's ever told, with some actually interesting ideas and characters for once. Rest of the game is good too, though being forced to use the pretty mid Gen 5 pokemon until the post-game was kind of lame."
5,"
    ChaiPupp
  ","
    Nov 23, 2023
  ",6,"I like how the game looks, the region, the characters, but it does little else for me... Still enjoyable."
6,"
    Peppe096
  ","
    Nov 6, 2023
  ",10,Best pokemon game imo
7,"
    Roykya
  ","
    Oct 23, 2023
  ",9,Pokémon with good writing
8,"
    PyroRaider
  ","
    Oct 23, 2023
  ",8,"Game Freak took a bold move with this generation, and it paid off extremely well. Animated sprites, incredible environments, and a story that is much more potent than other entries in the title, combined with a decent difficulty curve. There is much to love about Pokémon Black, and it earns it's well deserved place as the 3rd best Pokémon game."
9,"
    kup108
  ","
    Oct 22, 2023
  ",8,Not sure if it's nostalgia but the pixel art and sprite design in this game is so **** beautiful omg. Story is interesting and the best of any Pokémon game.
10,"
    lostleader
  ","
    Oct 8, 2023
  ",10,"Pokemon Black improves so many small things that in the grand scale of things, Pokemon has never been better, but there also seems to be something lost in transition from old to new. Black most certainly is a different Pokemon then from what I’m used to, and although I don’t like some changes to the series, overall it’s a good transformation, and I hope to see more of it."
11,"
    Marioipod
  ","
    Oct 5, 2023
  ",8,"Very good game, the story is among the best in the series. I really like the new Pokemon, and I underappreciated the Fifth generation in the past because of my strong nostalgia for third and fourth generation, but I like it quite a lot nowadays.

However: I must warn you to definitively get White version if you have no other available Pokemon games. It has 100 extra version exclusives not in Black because of a postgame area called White Forest (Black version has Black City instead)."
12,"
    MasterHiker
  ","
    Sep 24, 2023
  ",8,Much better than Scarlet and Violet.
13,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",10,Treasure!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
14,"
    ALTPL
  ","
    Sep 7, 2023
  ",8,"I  first played it in 2023 so 12 years after release date. Does it hold well today? Should it be played?
I've played it on physical console and I've had lots of fun. I've tried it previously on emulators but such approach doesn't ignite a spark of joy.
In terms of story-telling, lore and world-building this game should get straight 10 - but after reaching some point of the game near the end the grind becomes unbearably dull and legend hunting isn't as good as in previous (and later) installments in series.
Even though I've spent about 150h on this game it doesn't have factor that would make me repeat whole adventure any time in the future."
15,"
    sathvik_
  ","
    Aug 1, 2023
  ",6,"Good but im not too fond of the ""only gen 4 pokemons in this game"" thing, its a bit lack luster"
16,"
    Squaredash
  ","
    Jul 19, 2023
  ",9,"After getting lambasted for making pokemon players try new things (ie not use charizard), I’m very glad that the playerbase has turned around on these games, because I truly believe that gen 5 is the best the series has to offer. They did an excellent job with the new pokemon- you’d always find a few new things in every route, making you feel like there’s always more to discover, and the pokemon themselves are some of the most well-designed in the series, even if some of them don’t evolve until very late. The story is excellent (a first for the series), and as formulaic as it may be, I believe these games truly mastered the formula."
17,"
    Autoatlas
  ","
    Jul 17, 2023
  ",10,"The pinnacle of 2D Pokemon Games, and most likely the best of all mainline pokemon games. Rich story, lore, good map design, banger music 11/10"
18,"
    ND-Bringer
  ","
    Jul 11, 2023
  ",8,[SPOILER ALERT: This review contains spoilers.]
19,"
    Jonnybravo222
  ","
    Jun 26, 2023
  ",10,Now this is a pokemon game right here. One of the very best ever made. So many new polemon. Great story. The sprite art is top tier. A game I'll always go back to for a new play through.
20,"
    Eterna97
  ","
    Jun 2, 2023
  ",10,"Il migliori giochi pokemon, quando ci mettevano ancora il cuore e le competenze tecniche"
21,"
    miguellopez99
  ","
    Jun 1, 2023
  ",10,96/100                                                                         .
22,"
    Garde_Mystik
  ","
    May 25, 2023
  ",6,"I was writing a review but got hit with a 403 forbidden and my review got removed. I'm just gonna leave it at this. tl;dr - Pokemon Black and White, as GAMES, are kinda mid. the climax was epic. the story was flawed and really boring much of the way through. the gameplay is super dull and barren for a pokemon game, almost as much so as the gen 1 games. this was disappointing for a game 5 generations in. Even games like XY people find are barebones have so much more to them in the gameplay aspect than Black and White. BW added detrimental features like the critical health theme, holding hostage the quality of each fight, the postgame was overrated, as it was simply 3 cities you explored with little incentive and not much reward. The Battle Subway is heavily lackluster in comparison to gens 3-4 battle facilities and gens 6-7 battle facilities, despite being the only battle facility in this game."
23,"
    Triblue
  ","
    May 21, 2023
  ",7,Très sympa. C'est un Pokémon classique mais un Pokémon est toujours sympa et amusant au point que je pourrais presque mettre le même commentaire à tous les Pokémons.
24,"
    AnthonyStf
  ","
    May 18, 2023
  ",4,"This an BORING GAME! B2W2 is so much better. The progeinsoions is so slow. The fire starter ****, the anime ****, this ****. Pokemon black is not a good game, probaly one of the worst. 4/10, and B2W2 is a 10/10"
