,name,date,rating,review
0,"
    Rolling741
  ","
    Feb 22, 2024
  ",8,"An underrated entry in the franchise that is often overlooked. Expanding on the previous game this one offers a good cast of characters, some lovable new Pokemon and a decent challenge."
1,"
    ZXSth
  ","
    Feb 2, 2024
  ",8,"I highly recommend playing this game in a way that allows you to speed through some of the slower parts of it (i.e. the beginning, grinding levels and other more tedious aspects of gameplay). If played on original hardware, I'd rate this game a 6/10 by modern standards, because it (and other Pokémon games) are unbelievably slow. However, when sped up, I would put this game at a 9/10.

Black 2 is one of the best experiences I've ever had with a Pokémon game. It cuts out a lot of the tedium of the other games, and while there are still many very slow moments, increasing the speed of the game can turn a frustratingly slow experience into one that I believe Pokémon should be. Having said that, I cannot recommend playing Black 2 in its original incarnation due to the absurdly slow pace of battles and annoying moments of ""filler"" (i.e. story events and excessive dialogue)."
2,"
    JiggilyMiggily
  ","
    Jan 24, 2024
  ",9,"My personal favorite Pokemon game. The story remains strong, and it has the largest amount of content in the franchise. There are a lot of underrated new Pokemon, and while some are stinkers, that is to be expected; however, the setting and characters help drive the story forward, and the music pushes it that much more. For what it is as a Pokemon game, it appears as this is the game in which Game Freak cared about making the most, and the one they decided needed to turn out well. I would highly recommend this game as well as its prequels."
3,"
    Juudaii
  ","
    Jan 4, 2024
  ",9,"Gran juego, me gusta mucho la región, de los grandes de la franquicia, aunque los legendarios me quedaron debiendo un poco."
4,"
    Eyean
  ","
    Nov 29, 2023
  ",9,"While the story dips in quality, everything else about this sequel is a great improvement over the original B/W. The vastly improved Pokedex and the Pokémon World Tournament are some of the best new additions."
5,"
    ChaiPupp
  ","
    Nov 23, 2023
  ",9,"In my opinion: The Peak of Pokémon games, nice sprites & animation...yeah I hate the fairy type."
6,"
    Peppe096
  ","
    Nov 6, 2023
  ",8,⁣
7,"
    kup108
  ","
    Oct 22, 2023
  ",9,Such a cool game and you can tell how much creativity and artistry was put into it by the developers. Would be a 10 but this is a Pokémon game so its pretty repetitive and tedious lol. Best Pokémon game tho.
8,"
    Suprah
  ","
    Oct 18, 2023
  ",7,"Great moments but overall weaker than the first game, especially in terms of it's story. Shout out Iris tho"
9,"
    J0nathan
  ","
    Oct 14, 2023
  ",9,Rating: 90
10,"
    AdrienBertrand
  ","
    Sep 19, 2023
  ",10,The peak of Pokemon
11,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",10,Treasure!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
12,"
    Alarchou
  ","
    Sep 6, 2023
  ",9,Je crois que c'est le 1er jeu Pokemon que j'ai fini et j'en garde toujours un bon souvenir. 18/20
13,"
    Thunderfury1208
  ","
    Aug 10, 2023
  ",10,One of the very few games that was a 10/10. The story was very well made and the gameplay mechanics were gorgeous. The 2D sprite animations will never get old as opposed to when the series decided to become 3D. Tons of after story stuff to do and tons of pokemon to find to fill the pokedex. I always recommend this version to anyone who has a DS or 3DS as one of the must play pokemon games to this day.
14,"
    Antonil
  ","
    Aug 8, 2023
  ",10,"The best Pokémon game I've ever played.
- Explorig the Unova region a second time but now with more pokémons to encounter.
- Some parts of the map have evolved due to the 2 years between the two episodes plots.
- 3 new Gym Leaders and a new Champion to keep refreshed. And the old ones have updated their gyms.
- A perfect story thanks to the antagonist's personality.
- This generation introduced the Shiny Charm, great for shiny hunters when the base rate is at 1/8192.

These games may be 10 years old but it's still time to discover them !"
15,"
    ND-Bringer
  ","
    Jul 11, 2023
  ",7,[SPOILER ALERT: This review contains spoilers.]
16,"
    Jonnybravo222
  ","
    Jun 26, 2023
  ",10,Best Pokemon games in the series and it's not even close. These games fix everything that the first ones had wrong with them. AmaIng selection of pokemon. Even better story. So many new elements added to this game like the pokemon world tournament for example that are just so fun with infinite replay value. Just an amazing game with so much reply value.
17,"
    Yojimbo2015
  ","
    Jun 4, 2023
  ",4,"Beloved by tamagotchi obsessives and those with the collector gene but this combat-based RPG lite bored me to tears. For me, Pokémon is one of those series in the ""I don't get it"" file."
18,"
    miguellopez99
  ","
    Jun 1, 2023
  ",10,99/100 peak pokemon                                                                         .
19,"
    Garde_Mystik
  ","
    May 25, 2023
  ",7,"Solid game but in retrospect it's overrated. While Generation 5 comes with a lot of PvE battling content, it's ultimate quantity over quality as there's so much that held it back from its full potential.  For one, the story is not so great, as the only real direction in narrative was to show Team Plasma off as terrorists. We needed this game to be about Kyurem. We needed the Unova sequels to flesh out further on Unova lore and try its best to complete it all the way. In the end, in 2023, Zygarde got more fleshed out without ever having a game than Kyurem did with two games. Kyurem is also still one of the most misunderstood Pokemon to this very day. Black 2 White 2 are good games, they just aren't good sequels. The fact many people are ""optimistic about waiting for Unova remakes to complete the set altogether"" expresses part of my point. These SHOULD HAVE been the games to give Unova a proper conclusion. We shouldn't have to wait for remakes to come out in an era where Pokemon probably doesn't care anymore. As we've been with BDSP and Scarlet and Violet, I don't even have faith in Unova remakes to be any good anymore.

Another point I have to make is the content itself. The standout features here are the Battle Subway, the PWT, the Pokestar Studios, the White Treehallow, and the Black Tower. While Generation 5 has a lot of content catering to one aspect of the game, it's not necessarily diverse. This game lacks the external features many other generations have. They have nothing like the Pokeathalon, the Poke Amie, Super Training, the Poke Pelago, Pokemon Contests, or anything where you can really see your Pokemon in a different light and get to connect with them more. They have musicals but that's just watching your Pokemon dance for 1 minute after dressing them up, and it's not necessarily anywhere near the levels of the fleshed out content other Pokemon games have.

The battles themselves aren't the best of quality in Gen 5, as the critical health theme legitimately holds the quality of each match hostage, and the most you're getting out of these games are repetitive cycles of restricted Champion teams. I remember when playing as a kid, feeling frustrated by how held back the AI trainers were in games as late as Gen 5. Unlike with the 3DS games, there's not really a way for you to get a full 6v6 battle against level 100s at all unless you battled friends in real life. Even then, the overall battle mechanics are much better in the 3DS games, as you don't have to deal with endless weather strategies, sleep counter resets, copycat roar, Sky Drop glitch, etc. It gets boring after battling Cynthia and her level 78 Garchomp all the time for example, without her ever keeping up with my level 100s and legendaries. The 3DS offered a tool within those games to greatly help with this in the Vs. Recorder, an overlooked feature that's essentially a sandbox for how you could set up battles for your game. I can hardly care about facing off against repetitive Champion teams in the overworld or in PWT when I can get so much more off later generations of Pokemon games overall, and with better battling mechanics.

Black 2 White 2 are also the most money-hungry main series Pokemon games before the Nintendo Switch. Do I even have to explain? They installed a key system, which made the difficulty setting version exclusive. Challenge Mode is exclusive to completed Black 2 saves, Easy Mode is exclusive to completed White 2 saves. If you wanted to Challenge Mode to White 2 you will need to link with a completed Black 2 save. This resets upon resetting the save file. The White Treehallow and the Black Tower were also version exclusive. Many people overlook the severity of this in particular. The White Treehallow had Breeders who often carried Chansey and Blissey, making it the most efficient method of grinding levels in the 2D era of Pokemon games. The Black Tower did not have this, because they made the EV distributions of trainers you fought in Black Tower/White Treehallow version exclusive.(HP/Atk/Def - White Treehallow) (SpA/Spe/Spe - Black Tower). Both the difficulty setting and most efficient grinding methods were version exclusive. You were also required to have Black or White to access unique content via Memory Link, and were required to have Gen 4 games for National Dex completion. Black 2 White 2 are certainly not worth the high price they sell for second-hand today when they're tied in these chains.

Lastly, I have no clue why people call these the most replayable Pokemon games. The story is lackluster and flooded with missed opportunities, and you lose so much off resetting them. You lose PWT progress (which was annoying to get back, and if you downloaded PWT content, it's now gone forever), you lose Pokestar Studios progress, you lose Medal progress (which you can now never complete), you lose the keys, and you lose Join Avenue progress. All the best things about B2W2 require not resetting them."
20,"
    Marioipod
  ","
    May 25, 2023
  ",10,"Excellent Pokemon game, has multiple underappreciated features like the Pokemon World Tournament, and has a challenge mode if you're playing Black 2. Has 649 total Pokemon, though you might need to play other games to catch them all."
21,"
    AnthonyStf
  ","
    May 18, 2023
  ",10,"Ok, now this is what I call an amazing game. Platinum and B2W2, aren't just amazing pokemon games. Their Amazing games. This game is an amazing."
22,"
    JustAGameGuy
  ","
    May 18, 2023
  ",10,"I am convinced that, without any doubt, this is perfection in Pokémon form. With the best story known to the series, tough battles, legendaries to hunt, and a massive list of Pokémon to collect, the sequels to Pokémon Black and White are easily the best games the series has to offer. Even if you haven’t played the originals, you can jump right in on to this one!"
23,"
    Jerem8
  ","
    Apr 11, 2023
  ",10,"Best Pokémon game, with a rich history and great antagonists. A fantastic sequel for Pokemon Black !"
24,"
    TehWaffl
  ","
    Mar 15, 2023
  ",9,"On par with its predecessor in nearly every way. Best gameplay the series has ever seen, and the variety of wild encounters makes teambuilding more fun than ever. The story isn't as good as the originals, but the game more than makes up for that with the new Pokémon and quality of life additions."
25,"
    frightopia
  ","
    Mar 6, 2023
  ",10,Easily the most replayable Pokémon game in my opinion.  It's a sequel that fixed any of the potential flaws of the first!
26,"
    CarpMagik
  ","
    Feb 18, 2023
  ",9,"Without a doubt the one of the best Pokémon games : dynamic battles with energetic soundtrack and moving sprites, a good story, though Pokemon isn't known for its amazing plot. It has an incredible amount of post-game content : the Black tower/white tree, the Pokemon world tournament, the pokewood and a lot of new explorable areas to capture legendaries from previous games and tons of little details such as the medals, O-powers and many multiplayer mini-games, although this part of the game pretty much died."
27,"
    LillaQwilfish
  ","
    Feb 13, 2023
  ",8,"3D badges are amazing. For real i love them every pokemon fangame i played till the end had them i love 3D badges. Leveling **** tho, 8/10 no Qwilfish"
28,"
    ZangBang
  ","
    Feb 5, 2023
  ",5,"UPDATE
Pokémon Black 2 doesn't have a story as thematically rich and thought-provoking as its prequel's, but it's far from bad as it makes the most of its sequel nature, diving deeper into old characters and ideas and taking them in new directions, whilst also introducing a couple of new interesting plotlines. Gameplay-wise, the new PokéStar Studios facility is the endearing side-activity that Musicals failed to be, offering a really fun diversion and hours of hilarious cheesy dialogue, but the real gem of the experience is most definitely the Pokémon World Tournament. Acting both as an incredible treat for hardcore players looking for a challenge and a fanservice bomb, the World Tournament allows us to meet and fight every single Gym Leader and Champion from the entire series with remixed tracks and new teams in a variety of battle modes. It is undoubtably the richest battle-focused postgame content in the history of the main series. A beautiful way to celebrate and end the 2D era of the franchise."
29,"
    amonium
  ","
    Feb 1, 2023
  ",10,"The game is even better than Pokemon Black, which is one of the best games I have ever played. It's very great, both storywise and designwise. The graphics in those games are great, the monsters designs are good, and literally everything about the characters is just perfect!"
30,"
    Chastizer
  ","
    Jan 24, 2023
  ",10,"Knowing that the Unova sequels came from a time where the franchise reached a low point in popularity makes me yearn for another period of such. More and more the modern games expand on questionable features at the behest franchise staples to cater to the average consumer. Pokémon Black and White 2 are games that were made for the hardcore Pokémon fans during a time in which the franchises popularity had reached a low point before the 3D boom. As such a lot of the features, the story, and hell even the side content requires context you might not have if you haven't played all of the other games. If you are new to Pokémon skip this game and come back when you've played all the others, the time you put into the rest of the franchise only ripens this game further and makes it taste that much sweeter when you play through it.

While there isn't an insane amount of new content compared to it's predecessor, there is still quite enough here to make the second romp around Unova feel fresh and interesting. From new locations to revamped old ones they tried to take what was there and twist it  just enough that you don't feel like you're playing the same game.

In short, this game gets better and better the more Pokémon games you have played prior."
31,"
    polishedrelish
  ","
    Nov 21, 2022
  ",10,"These games are the most fun you can have on a DS! The campaign is a blast from start to finish, offering a decent challenge with memorable characters and a great plot. Couple that with the versatile regional dex, and you have a Pokemon experience like no other.

If you enjoyed the original Black/White, then the sequels are even more of a must-buy. The story from the originals is excellently expanded upon here, and the new Unova region is very refreshing. There are also many new features and minigames to keep you engaged long after you finish the story, like Hidden Grottos, Pokestar Studios, the PWT, and lots of neat little events with NPCs.

To put it simply, Pokemon Black 2/White 2 are masterful games with an insanely good soundtrack, beautiful visuals, great story, and loads of content. It really doesn't get much better than this."
32,"
    hector_bcn98
  ","
    Nov 7, 2022
  ",8,"No entendí la necesidad de hacer estas entregas, no sumaban el contenido necesario como para justificar otra compra. No podrían haber optado por la tercera entrega como se hizo siempre?"
