,name,date,rating,review
0,"
    emprbblgm
  ","
    Jan 28, 2024
  ",4,"Super easy as all modern Fire Emblem games have been. Not an issue but worth noting. The story was painfully boring. I didn't really care much about any of the characters except Corrin and Azula. Some of the maps were fun, others not so much. Wish they did without the incest. I get that romance is heavily emphasized in the 3ds game but letting Corrin marry and have kids with their supposed blood relatives is weird and the primary reason for the low rating. I don't care if they aren't technically related because that's worse as it ruins the whole point of the story. Where's the tension if Corrin isn't actually related to either side? It's just a war between two groups. The only part of this game worth playing is Corrin in Smash"
1,"
    Spagh8tti
  ","
    Dec 4, 2023
  ",8,"Gameplay is pretty much on par with Awakening, didn't like it as much as Awakening but it was still pretty damn fun"
2,"
    lostleader
  ","
    Nov 26, 2023
  ",4,"The fate series had 3 games it all put out at once, and while I think they are all of similar quality; Conquest is the best of them. The same issues are present in this version as it's counterparts, 2 chapters at the end are connected, but don't give you a save between them, the game is largely designed on casual play over traditional, the marriage/child mechanic is forced and heavily encouraged, and Corrin is still as personable as dry wall.While this game is treated as the hardest of the 3, in reality it's actually far more fair and reasonable. A lot of the hardness in the game really just comes from being unprepared or not getting proper levels for certain units, and while most games this would be bad design, in Fire Emblem, it's par the course. In fact, a lot of conquest actually feels like it was designed with far more thought and reason beyond. Conquest's story actually presents proper moral dilemmas and doesn't end things as tightly as it's counterparts because that's what war is.Conquest still has some awful moments, most notably chapter 11, and Nohr's family issues with their father, but it largely feels like they were heading to fix the issues till Nintendo ordered more games in Fate. In a lot of ways, you can see what Fate was suppose to be in conquest, but overall this is just a mediocre experience with some interesting bits."
3,"
    ChaiPupp
  ","
    Nov 23, 2023
  ",9,"It it so close to be my favorite FE game, but I do not like how the game looks. Still I always have fun replaying it. (version 1.0)"
4,"
    Thumaz
  ","
    Apr 24, 2023
  ",10,"My favorite Fire Emblem, best maps ever made, challenging, fun to build your characters, relationships and your castle, you cannot go wrong. The pair up system is much more balanced compared to Fire Emblem Awakening a must have for every fan of the franchise, for starters i would recommend his counterpart Fire Emblem Birthright, which is pretty good too."
5,"
    Lani337
  ","
    Jan 31, 2023
  ",9,"Definitely the best Fire Emblem Fates Game. The story is arguably the worst, however, it is terrible in all of Fates. The Gameplay of Conquest is great though. Even on normal Difficulty, it is not a cakewalk. But even on the hardest difficulty, it is beatable, however, you cannot switch your brain off once, this will be punished. If you expect a good story, this Game is not for you. If you want entertaining Turn based Strategy though, it is a fantastic experience."
6,"
    Plumbo2000
  ","
    Jan 29, 2023
  ",8,The most solid gameplay experience in the series outside of Thracia. Unfortunately it suffers from an irritating cast and downright bizarre story.
7,"
    hector_bcn98
  ","
    Nov 4, 2022
  ",8,La vía difícil de los Fire Emblem Fates. No entiendo cómo se les va la mano con la dificultad.
8,"
    yamiyugi222
  ","
    Oct 8, 2022
  ",3,"Então, a regra funciona assim, se não tem o Bors no jogo então o jogo não é bom "
9,"
    ssjkale1987
  ","
    Apr 21, 2022
  ",10,Conquest had the best gameplay and the story was better handled than in Birthright. It was also the hardest version but enjoyable. Some plot holes but nothing too bad.  The original soundtrack was also very good.
10,"
    KNX2501
  ","
    Jul 17, 2021
  ",9,"Definitivamente el mejor de las tres partes que componen a Fire Emblem Fates. Personalmente creo que si no puedes adquirir los tres juegos que componen Fates solo adquieras Conquest. El desarrollo de los personajes, su historia y el nivel de juego lo hacen una compra obligada."
11,"
    Alecseus
  ","
    Apr 30, 2021
  ",6,"The best gameplay in the entire series, but the plot is too terrible to be ignored."
12,"
    BasilZero
  ","
    Apr 18, 2021
  ",9,"Game:  Fire Emblem Fates Conquest
Genre:  Strategy RPG
Developer: Intelligent Systems
Publisher:  Nintendo
System: Nintendo 3DS (3DS)
Year of Release: 2016
Length of Playthrough: 56 Hours

Total Score: 92/100
Value Score: 9.2/10

• Story: 10/10
• Characters: 10/10
• GamePlay: 9/10
• Graphics: 9/10
• Sound: 7/10
• Music: 8/10
• Length: 10/10
• Replay Value: 9/10
• Player Value: 10/10

Pros
+Great story and character interactions
+Self contained story with a choice that affects characters being available or not
+Marriage system in tact from Awakening
+Art and character design as great as Awakening
+Customizable town system
+Sidequests available that are free and also from marriages

Cons
-Voice acting limited compared to Awakening
-Full story divided into two other games and as separate DLC
-No maps to grind for money or exp unless you buy them as DLC

---

Series Scorewise comparison sake

Fire Emblem Awakening (3DS): 94
Fire Emblem Fates Birthright (3DS): 93
Fire Emblem Fates Conquest (3DS): 92
Fire Emblem Echoes Shadows of Valentia (3DS): 90"
13,"
    piff2000
  ","
    Dec 29, 2020
  ",7,"The story is really dumb but hey, the gameplay is great! That redeems the game a lot in my eyes."
14,"
    DatBoi27
  ","
    Dec 6, 2020
  ",10,"Clearly the best of the fates trio. Great difficulty imo (I played in normal casual but am a bit of a noob) and the story was incredible. Birthright feels like a more obvious path, but this also leads to a more obvious story. Conquest feels more fleshed out - although I will say that the deaths in Birthright are more emotional."
15,"
    lrn2review
  ","
    Mar 27, 2020
  ",9,"Probably one of my favorite games. Highly recommend if you like turn-based strategy games. If you care a lot about story though, this game may not be for you.

Pros:
-Challenging, largely fair gameplay that mostly avoids giving unique advantages to the enemy
-Dragon veins give a lot of variety to approaching a chapter
-Lunatic mode isn't just stat inflation and slapping a couple OP skills; groups of enemies change as does how they behave
-One route has enough content to make a satisfying game on its own
-Rework of the pair-up system is welcome and largely well done
-Personal skills are a great touch to make even the worst units viable
-Classes are no longer gender-locked; opening up options for reclassing units without being so open that you can spec every unit into one overpowered class
-Method of gaining access to classes is complex and appropriately restricted behind how you play with a unit in battle
-UI is excellent and takes full advantage of dual screens
-CG cutscenes look quite amazing given the hardware running it
-Music is pretty good
-Enemy capture system is fun to play with and offers alternatives if a unit falls too far behind
-Large variety in victory conditions
-Many maps are designed to discourage turtling and low-manning; much appreciated considering these strategies are a common cheese in FE
-The process behind building a good child unit is actually pretty involved and adds replay value

Cons:
-Nonsensical plot
-Plot-wise, child units felt tacked on
-Mostly one-note characters
-There is one unique enemy advantage that cheapens the final chapters on Lunatic a little bit since it allows debuffs to stack
-Extremely poor localization that cuts content
-Extra routes cost money
-Weapon system makes many weapon types undesireable even though they're traditionally better
-Defense stance is a little too broken compared to attack stance"
16,"
    MiguelAngel78
  ","
    Mar 19, 2020
  ",7,"Bella historia, aunque se estanca un poco a mitad de juego. Muchos personajes son buenos, otros, olvidables. El juego es ridiculamente dificil en varios niveles, creo que ese es el punto mas negativo y por lo que no merece un 10. Es absurdo que no permitan entrenar a las unidades. SI te equivocas, como todo el mundo que jugo por primera vez, vas a batallar aun mas en superar los niveles y conseguir los matrimonios que merecen la pena ver. El soundtrack es bellisimo, mejor que Ocarina of Time. Un ultimo punto negativo, y por lo que no merece un 9.5, es el sistema de clases, realmente no hay forma de darse cuenta que tan importante es elegir la clase y las caracteristicas de los personajes al usar ciertas armas, por lo que uno se encuentra ""a ciegas"" a la hora de decidir como equipar a las unidades."
17,"
    frederik1478
  ","
    Feb 13, 2020
  ",7,Is the best game in the fate trilogy And it makes you feel horrible so that's a plus
18,"
    JCgamer18
  ","
    Jul 25, 2019
  ",5,"This game is more challenging than birthright but its problem is it plays like birthright and because of that a lot of character are just useless and you will never use in conquest and the format of the game makes it not only overly difficult but its lacks any balancing for this insane difficulty spike. The story had giant plots which literally in the story said dont worry about it. The big problem with conquest is that it has a better story than birthright but the gameplay is like a glove that doesnt fit. This game is literally the reason phoenix mode exists.

I found the story to be meh and gameplays biggest problem is that its not balanced properly and unlike birthright it overstays its welcome because of its balance issues"
19,"
    ArcanaThe4th
  ","
    May 28, 2019
  ",8,"i'm not a long time fan of the series, so I haven't really felt the heavy disappointment some of them did, but I was always a fan of the strategic gameplay of Fire Emblem and I was glad to play this particular game. it was engaging and interesting as far as gameplay and some of the character relationships go, though I'll say, a lot of characters, especially the main one, leave things to be desired, and they come off pretty Mary Sue-ish, but the feel of the game and the challenges it present aren't half bad and I had quite a lot of fun playing through it. i was still sold on the addition of same sex relationships and I hope Fire Emblem will keep doing that because Niles' romance was amazing."
20,"
    iMustang
  ","
    Mar 26, 2019
  ",9,"I honestly loved it even more than Birthright. While Birthright told a more straightforward story, Conquest's story was not only more emotional, it was also filled with characters that were much more colorful and fun that I found myself getting much more attached to. And because I played Birthright first, certain scenes were REALLY emotional (some of you know the ones). The levels were also more fun and challenging, which made the whole experience of beating them more rewarding. Overall this was just the better game of the two, and I loved it a lot, even if it broke my heart several times."
21,"
    BoydTheReaver
  ","
    Jan 26, 2019
  ",9,"Conquest is a game that I think a lot of people give too little credit over. Everybody knows by now that the story is a mess, but I'd go as so far as to say that's the only bad thing about the game proper. Everything else, I'd say, is superb; the graphics are gorgeous, the characters are lovable, the gameplay is - hands down - the best in the franchise, and I even enjoyed bits and pieces of Fates' extremely flawed narrative.

If you want to pick up this game, I recommend you do so gauging it by its own merits and not paying the story too much heed. Even if it's not a good FE game (which I disagree with, but understand the mentality), it's still a good game overall that I strongly recommend."
