,name,date,rating,review
0,"
    spencerplewe
  ","
    Jan 27, 2024
  ",8,"With a charmingly voiced cast of characters, an epic story (by most Fire Emblem standards), and perfected gameplay, Echoes is a remake of an 8-bit Japan-exclusive of the  highest caliber."
1,"
    Spagh8tti
  ","
    Dec 4, 2023
  ",9,"My favourite FE game so far (only played Awakening and Fates before this) loved the gameplay, loved the story. Fantastic!"
2,"
    Pasifull
  ","
    Nov 26, 2023
  ",8,Wonderful visuals and tactical nuances are let down by a slog of a final act
3,"
    ChaiPupp
  ","
    Nov 23, 2023
  ",4,"I did like it for the first few chapters, but eventually you control 2 armies at the same time and from that point  on, it is very annoying with map disignes I really do not like so I barely finished it ... the characters and animations are nice tho. (version 1.0/1.1)"
4,"
    TheCoffeeTalker
  ","
    Oct 25, 2023
  ",9,"Fire Emblem: Echoes is a great experience with an enthralling story and lovable characters. Although some of the gameplay mechanics are unique, the way they are executed gives me such joy as a unique experience for the Fire Emblem franchise. The game is packed with tens of hours of content, amazing graphics for a 3DS game, and full voice acting. My only true gripe with the game is that it was given no difficulty setting above Hard, leaving only two difficulty options to choose from."
5,"
    Bugggger
  ","
    Aug 23, 2023
  ",10,"One of the best games on the 3ds, and one of the best remakes ever made. This game manages to be impressively faithful to Gaiden while also adding in it's own new things such as combat arts and 70ish% of the story and characters. Not all of it works, like Conrad, but most of it fits in perfectly. And it's not like I hate Conrad or anything, it's just really easy to tell he was added in, like in an Atlus Girl kind of way if you know what I mean."
6,"
    JustAGameGuy
  ","
    May 14, 2023
  ",4,"Easily my least favourite 3DS Fire Emblem. Playing through this game was miserable, with a mediocre story and boring gameplay. After the great time I had playing Fates and Awakening, I was hoping to enjoy Shadows of Valentia, before I was met with a terrible omen of things to come - one inventory slot. As the game progresses, things get worse. Boring boat maps, Cantors infinitely spawning monsters - and later on - teleporting witches, desert maps that slow anyone without a Pegasus to a crawl, swamp maps that force you to walk through damaging swamps just to complete the map - there’s no other way to beat them!

I ended up quitting the game right as I reached act 5, because despite the fact that I was so close to finishing, I could not handle it anymore. Fire Emblem Echoes: Shadows of Valentia is a miserable experience and I could only ever recommend it to superfans of the Fire Emblem Series."
7,"
    Traumereix
  ","
    Feb 7, 2023
  ",10,This was the last good entry from the franchise unfortunately...................
8,"
    Phrancium
  ","
    Feb 6, 2023
  ",9,"great game, great use of two different paths, good story telling, interesting new mechanics, and likeable characters"
9,"
    Plumbo2000
  ","
    Jan 29, 2023
  ",9,A beautiful and spellbinding experience that only really suffers from a failure to update old maps from the NES era.
10,"
    klaaz
  ","
    Jan 25, 2023
  ",6,A remake that feels old because it is afraid to change outdated mechanics from its original version even though they had already been modernized in FE Awakening and Fates.
11,"
    Kalcool12
  ","
    Dec 4, 2022
  ",3,"| Nothing Redeeming |

I don't want to be too harsh in this game because there are certainly some things I enjoyed. From the combat, many of the characters, and a lot of ideas I thought were very good. However... there's nothing else.

The game attempted to implement this exploration-dungeon thing, and I did not enjoy it. The game had different characters than the previous installments, and none are as memorable as Awakening's or Fates' characters. The story is interesting and builds up to big surprises, but nothing comes close to the Lucina twist or Grima storyline or Three Houses' twists or... yeah.

Overall, this is a game that follows the Fire Emblem formula, but with nothing better than its contemporaries."
12,"
    hector_bcn98
  ","
    Nov 4, 2022
  ",9,"Tiene todo lo que debería ser un remake de Fire Emblem. Historia de calidad, personajes y dualidad de ellos interesantísima, dificultad muy bien ajustada... En resumen, un remake esplendoroso y sin necesidad de comprarlo dos veces, pagar contenido descargable... Compra obligada."
13,"
    BetaPlayer
  ","
    Aug 1, 2022
  ",8,"The only thing that **** about this game is the Celica levels, specially the desert ones,. Everything else is great. All the characters (except Faye because she's always talking about Alm) are likeable."
14,"
    Josenolito72
  ","
    May 24, 2022
  ",9,"Este juego es uno de los más grandes de la consola. Realmente es una experiencia única la cual muy pocos juegos te pueden dar aunque haya quejas sobre su jugabilidad. Historia de 10, gráficos y diseños de 10 y banda sonora, uffff la banda sonora de 1000. Simplemente un fantástico fire emblem Se tiene que probar aunque sea solo una vez. MAGISTRAL!!!"
15,"
    attemptatreason
  ","
    Oct 29, 2021
  ",9,"I agree with the user ratings but not the critics, definitely not near an 8/10. This game is amazing, to be Frank. Any level of player can pick it up and enjoy it, it expands on the core mechanics of what the FE series did amazingly (combat). This includes the blacksmith - which to my knowledge was the precursor of fe3h. Also, an in-game model where you move freely which brings the sprites to life well. I didn't think I'd like the ""double party"" system within one game, but overtime both the two seperate parties became fun to play. The promotion system was also very generous and rewarding, also super satisfying to hear the statue music and the promotions. The characters were super likeable or hateable, but regardless all art and sprites looked amazing and consistent. The look is very unique to the FE games but it works. I thought the way they used a ""pad wheel"" for the auto battling made farming and combat super simplified. I do recall an overabundance of dragons just everywhere, I believe in the Cecilia route - having more enemy diversity may have helped at certain stages. Also new to the FE titles was the voice acting - I am so happy this game had top level voice acting all the way through - even a year after beating the game, I can hear the voices of each character pretty vividly every time I see the characters. This game is amazing and is a must play for any one that enjoys turned based combat and army building."
16,"
    Den162047
  ","
    Oct 15, 2021
  ",10,"Неплохая игра на 3дс, не знание прошлых частей игр, не мешает играть так как история самостоятельная, а ещё как человеку который не играет в стратегии и РПГ от слова совсем, боевая система очень понравилась"
17,"
    D_Games
  ","
    Oct 15, 2021
  ",10,My actual favorite game. I started my FE journey with Awakening then Fates. I started playing the old GBA titles and even emulated PoR & RD. Without a doubt Shadows of Valentia stands on the shoulders of the titles that came before.
18,"
    Rodrigohonorio
  ","
    Sep 1, 2021
  ",9,I really like this game. The units are great and the cutscenes also look nice. The dungeons is kinda boring.
19,"
    Zorwasa
  ","
    Aug 9, 2021
  ",0,"the dungeons a terrible, later on into the game you have you main character fight 1v10 and its rng if you win or not, and thats at the end of the dungeon, so if you lose you have to replay an 1 hour of gameplay, so **** terrible game design"
20,"
    Alecseus
  ","
    Apr 30, 2021
  ",10,"Finally finished this awesome game. The best part of the series after Geneology.
The old traditions of the series are combined with new mechanics.
But DLCs arent worth its price."
21,"
    tukumalu
  ","
    Jan 30, 2021
  ",10,"Among the best in the series with groundbreaking 3D animation, amazing voice acting and intriguing characters."
22,"
    sandora85
  ","
    Jan 17, 2021
  ",4,[SPOILER ALERT: This review contains spoilers.]
23,"
    piff2000
  ","
    Dec 29, 2020
  ",8,"I think this game sets the standard for how an NES remake should be done. The updated art and voice acting along with new characters and features breathes new life into the game. Sometimes the map design shows its age, but other than that it’s a captivating adventure."
24,"
    Hasancan2001
  ","
    Dec 27, 2020
  ",6,"I started playing this game so that I could work my way up to the last game because I knew that if I played them in reverse order everything would seem old and clunky. So this is my first experience with fire emblem and it gravely disappointed me. I started the game in classic mode to the full experience and was amazed by how well the game pulled you into it's story and immediately made you care about the characters. The story was instantly compelling and dialogues as well as character models were excellent. Every character felt like they were an actual person. I started my first few fights and loved the sharpness of the gameplay despite the lack of enemy variety in the game. I could only manage the health of my characters, the weapons triangle wasn't there (yet). But I kept on playing because the fighting animations were done very well and theydidn't get old quick despite them being repetitive. I hit my first and last wall with the leather shield merc. He felt impossible to get through with all my characters still intact. So I couldn't, after many quit and reloads the best performance I got was killing the guy while only sacrificing Tobin. He had volunteered to join our quest so he could make the money to feed his family. It was sad seeing him go like that, I mourned my loss and moved on to the outpost I had recovered from the enemy. The game broke before my eyes when I entered the dungeons and the game showed a dialogue scene where Tobin -whom just sacrified his life for the quest- was casually chatting with Gray. My actions that were supposed to have so much weight just seemed dismal and the game degraded from a perilous journey **** of friends where every decision of their leader mattered and had tangible meaning, to a strategy game that  lacked depth and repeated itself way too often at the beginning stage. I know it was way too early to judge the fighting system but the lack of weight  your decisions have on the story would only get worse and that was for me the main selling point of the game. I can think of many games with much better strategy elements, the perma-death system was the thing that made the game unique and it still does -except for x-com?- but you should know that it has no applications to the story. I will try my luck with other  games from the series but so far this franchise has disappointed me."
