,name,date,rating,review
0,"
    TyrianTheresa
  ","
    May 2, 2024
  ",2,"Overwhelmingly unbalanced. The plot is neat but most of the good stuff is locked behind battles that feel like total slogs without grinding, and the game disincentivizes grinding pretty hard. I find myself going through all my rewinds without getting any progress done at a certain point and I have to redo everything because a generic rolled a hit on a 20% hit chance that does way more damage than it should at that point in the game. I'm not playing on Maddening, why am I getting an experience that's roughly on par with that?"
1,"
    IronWolfFang
  ","
    Apr 22, 2024
  ",7,"It was decent, I just couldn't fall in love with the characters such as I did with Three Houses"
2,"
    nathanXO
  ","
    Apr 15, 2024
  ",5,"I couldn't even get past chapter 10 before I already dropped this game to play a new game + on Three Houses. The battles are still good fun don't get me wrong, I think the combat/animations in this game are a step above and take a lovely turn toward more traditional fire emblem with fun and interesting mechanics, The Emblems are cool, the good kind of implimentation of a ""gimmick"", they also just allow for more depth in unit customization, all that is great.
But the story and most noncombat gameplay here is lackluster at best, all the characters are just tropes or caricatures of a better character, flanderized to hell and back. And all the supports are just... they're nothing sandwiches with extra cringe.
What Happened? They try so hard to do kinda what Three Houses was doing but completely miss the mark, and even the point, with a lot of these mechanics. The Somniel wants to be the Monistary so bad but it isn't even CLOSE to being as fleshed out, There's very little to do in comparison except run around talking to boring ass NPC's or pick up trash like a bum, maybe do squats and buy ****, arena fights are a cool addition though. Being able to pick units to fight against one another and gain EXP, that includes Emblems as well. But its so barebones, it has all the heart the Monstary had stripped out and now its just a lame hub world. I stopped watching the supports, they were so, so bad. All of them, and I mean all of them, act like 12 year olds, its so mindnumbing to watch they brainless characters interact. A real **** shame since those used to be one of my favorite parts of Fire Emblem. All in all what do I think? Well I'll just ask ""Are these the same guys"" and ""Wha Happun"""
3,"
    Geelovr
  ","
    Apr 9, 2024
  ",6,The story is definitely lacking in depth and development. It’s pretty barebones and at times I was wanting to skip it. The gameplay during the battles definitely makes it a more than playable game. It’s fun to use different character combos and battle the corrupted. It does get a bit repetitive. Overall it’s a fun game but it leaves a lot to be desired.
4,"
    TriviumLover69
  ","
    Apr 5, 2024
  ",0,"This is why the Fire Emblem fanbase isn't respected. The games are products to sell waifu jpegs, not passion projects, not art."
5,"
    Ffdq
  ","
    Mar 26, 2024
  ",9,"Great game, I don't know why most people hate it. To me, it's better than FE3H except the story of course, but that doesn't mean the story of Engage is bad. Music, combat, art design, level design, etc., in Engage are better than Three Houses,The only thing better in FE3H is the story and the characters."
6,"
    Snowberries
  ","
    Mar 18, 2024
  ",3,"A game with a very generic story and basically no lore to dive into. I guessed the (very cheesy) ending by chapter 13 and only tried to get it over with from there. The characters are underdeveloped and fall apart in their inconsistent designs. All interesting aspects for the characters are not explored enough.
I have to agree that it's a downgrade from three houses.

The combat system was fun but that's about it. Also sad that there was a gigantic cast and you had to bench a lot of them."
7,"
    Sakuroti
  ","
    Mar 1, 2024
  ",6,"Le gameplay marche bien, le jeu est terminée en terme d'optimisation. Mais j'ai rarement vu des personnages aussi mal écrit, aussi inintéressant de toute mon existence. Les personnages ne vivent qu'à travers un attribut. Je le reconnais déjà cas avant mais là je trouve que cela part beaucoup trop loin."
8,"
    Etheirys
  ","
    Feb 12, 2024
  ",10,One of the best fire emblem games in along time! Way better than three houses which I found to be awful!
9,"
    AJCk19
  ","
    Feb 1, 2024
  ",8,"This game is nearly perfect. I really like the art direction (so much that I look forward to Alear's scale figure and I happily own the collector's edition) and engage mechanic. It even has a very iconic opening credits.

My biggest issue, it takes forever to get good. They should have immediately started with the good gameplay parts 1st. The story is meh for the most part.

My 2nd biggest issue, I spend more time micromanaging and in submenus. Which it can be fun in games like Xcom, but you have to be careful of how you do it. Especially if your game has slow load screens.

Lastly and minor annoyance. I can't believe this game doesn't have any touch screen function. They added some ease of life functions, but excluding that was weird.

PS: it does have a online mode, is compatible with amiibos, has auto optimization options, and a autobattle function (which should go faster)."
10,"
    TiLiN12
  ","
    Jan 22, 2024
  ",1,"im Vergleich zu  Three Houses ein großer Rückschritt.
Sie machten alles falsch was sie in Three Houses richtig gemacht hatten."
11,"
    Citrone39
  ","
    Jan 20, 2024
  ",4,"So much disappointing after Three Houses, and Three Hopes. Please, make a Fire Emblem game with good story, lore, and characters, just like the prev one, and I will definitely love this franchise!"
12,"
    jokerdamate8
  ","
    Jan 15, 2024
  ",7,"One Step Forward and Two Steps Back encapsulates my overall feelings about this game as a new entry in the series. There is a great improvement in general gameplay and graphics but some regression in terms of overall character writing and storytelling. As a tactics/strategy game, it has a good level of challenge at higher difficulties; however, the lack of a compelling story and cast somewhat dampened the experience a tad."
13,"
    thanhqtran
  ","
    Dec 25, 2023
  ",1,"They went in the wrong direction compared to 3H - a perfect fire emblem game.
- Story: I played all the 3DS-era games and 3H. The story and romance are what keep the game engaging. Here, they threw them all away. That is a disappointment. 
- Design: The character design is a step-down. Seriously. You look at all the characters; all are goofy, child-like, and too colorful - not suitable for battle or have the charm of the previous games. 
- Gameplay: Ring power is an unnecessary gimmick."
14,"
    Kaihaku
  ","
    Dec 21, 2023
  ",5,"The Awakening DLC, #FE, Heroes, Warriors, and now Engage all seek to milk nostalgia with the same increasing lazy approach. I love the old Fire Emblem titles but that doesn't mean I want those old characters regurgitated again and again in lazy ways. Fates was the first Fire Emblem to bore me - I enjoyed Shadow Dragon - and Engage is now the second. The engage mechanic - ripped straight from #FE - works fine as a quasi-Persona mechanic but doesn't add that much over Awakening's pair up. The only appeal of this title is the strategy but even there its subpar compared to other titles in the series. Very disappointing anniversary celebration and a lackluster follow-up to Shadows of Valencia and Three Houses."
15,"
    Muradinbron
  ","
    Dec 18, 2023
  ",7,"Gameplay good, story is a snooze fest.. its like they made game to help you fall asleep since music is so mellow, dialog is monotone and story is boring.

But gameplay and quality of life are much improved from Three Houses"
16,"
    Reanimalt
  ","
    Dec 18, 2023
  ",7,[SPOILER ALERT: This review contains spoilers.]
17,"
    Asspull
  ","
    Dec 14, 2023
  ",7,"the music Performance is as good as usual . the story lack of some passion . the game stay classic not choice for player . if I write this . I would destroy all rings at volcano like The Lord of the Rings .
I known they are making 2 track BGM switching while battling . the timing wasn't good enough . check THE MESSENGER"
18,"
    Winteryte
  ","
    Dec 11, 2023
  ",6,"Story: 3/10
Gameplay: 8/10
Graphics: 7/10
Music: 5/10
Enjoyment: 5/10

My first Fire Emblem was Sacred Stones, and I've played all of them since the GBA and onward. This one feels like the weakest link and it's not even close. I'd like to add, I don't hate modern Fire Emblem games. Three Houses was a thoroughly enjoyable game to me with interesting character interactions despite some parts being a bit contrived. Engage felt like it failed to convey any real character depth, had an extremely cut and pasted story with inconsistent story beats.

I will admit though, there were some redeemed points in some areas of the combat. Despite it being a modern FE game with easy power leveling, which nullifies the challenge, (if you're looking for that) it delivers some things that are a nice inclusion like the action Break mechanic, and the Engage system. Engages are very busted however, showing a severe lack of balancing of the game.

If you're looking for a Fire Emblem game, this game may scratch that itch at its bare minimum. If you like tactical RPGs and haven't played a FE game, you may find this game quite fun. Though if you're a longtime FE player, this one is likely to feel like a new low in almost every regard."
19,"
    Nittclaw
  ","
    Dec 5, 2023
  ",9,This was my first Fire Emblem game and absolutely fell in love. I will definitely look forward to seeing new Fire Emblem games from now on.
20,"
    teruminthao
  ","
    Nov 27, 2023
  ",9,"amazing battle system, the story's not that great, kinda shallow, there are no real connections between characters"
21,"
    vincentvason
  ","
    Oct 23, 2023
  ",5,"Fire Emblem Engage is an example of only the core gameplay that cannot save the game if anything else goes in the wrong direction. Firstly, while I hate to judge some subjective topics like Character Art and Story. I feel like this element is really dragging the game down, they cannot support gameplay elements at all. While the character design is okay for me, the story is really bland, and repetitive, and reduces the variety of bosses in gameplay. Friendship conversation is also not as well made as Three Houses since it is divided into rings too.
Secondly, while the core gameplay is great and challenging more than Three Houses, The balance in this game is really bad. This game forces you to bench the old one and use the new unit instead.  While I love variants of classes in this game. Classes are also not balanced. In the end, you must pick only the one that can make it to the endgame.
Finally, the UX in this game is really bad. You need a lot to traverse through an area to get a little thing done such as obtain skills. However, Patch already fixes that.
In summary, I think 5 doesn't mean it is totally bad but it is 50% good and 50% bad, which is a shame."
22,"
    imalynxcat
  ","
    Nov 25, 2023
  ",7,Engage mekaniği hoşuma gitmedi ve karakterleri three houses oyunundaki kadar ilgi çekici bulamadım.
23,"
    ChaiPupp
  ","
    Nov 22, 2023
  ",10,"The good: Solid animation, very good Fire Emblem Gameplay, Funny Moments. ( version 1.0.0)

The bad: None

Source: My Opinion"
24,"
    johnhopkinsnoob
  ","
    Nov 20, 2023
  ",10,"This game is an hidden masterpiece: if the player completes the game on the difficulty of their desire: the tactical gameplay is the best in the SPRG genre. 
I spent 240 hours tinkering around with different strategies, the music in this game that accompanies the combat is very pretty and suits perfectly for hours of mind-full strategies. 
Overall this game is my third favourite JRPG on Switch after Fire Emblem Three Houses and Xenoblade 2&3.
Fe engage, is a pure example of strategies meeting the JRPG genre.
the result: a masterpiece, don't be put of from negative reviews of this game, as with Xenoblade 2, it has its haters; mainly due to the so called Japanophile-arch types of these games.

Fire Emblem Engage is my own GOTY for 2023.
As a huge Fire Emblem fan, I bought the limited edition version of the game and I was impressed by the high quality workmanship."
25,"
    bobby8jackson
  ","
    Nov 19, 2023
  ",9,"Pros: fun gameplay mechanics, well designed maps, beautiful  graphics.
Some characters are very well designed. (There are at least several characters that I am very fond of).
I surprisingly am very fond of Male Alear, I thought, Brandon McInnis, did a superb job bringing out his kind and caring personality.
Also the Emblem Rings work so damn well.
The soundtrack is stunning too.

Cons: weak worldbuilding, some characters have personalities that aren't that well developed, the dlc appears to have been rushed, no new game plus. Fire Emblem engage had so much more potential with the whole dragon lore and so on, it appears the devs, rushed some vital aspects of this game.

Just hope Nintendo will make the next Fire Emblrem, in the spirit of old classics and also hire an high-quality artist with talent similar to the  art-styles, found in the Tellius era of Fire-Emblem."
26,"
    Perishsong
  ","
    Nov 17, 2023
  ",10,"One of the best turn-based combat ever. The maps are super well designed and the engage mechanic make it so fun to experiment. While the story is the most controversial aspect of the game, I personally find the characters to be charming and they fit the tone of what they wanted to achieve. I'm sure this game wouldn't be so hated if it didn't come out after Three Houses."
27,"
    ZGiSH
  ","
    Nov 15, 2023
  ",9,"If you started Fire Emblem with Three Houses and are looking for a dating simulator, this will disappoint you. If you started Fire Emblem with any game prior and are a fan of the tactical gameplay, then you'll love this game."
28,"
    DanMontes24
  ","
    Nov 13, 2023
  ",9,"Tremendo juego, deberian darle una oportunidad si les encanta esta saga, el unico punto malo es la historia."
29,"
    splappyboom
  ","
    Nov 10, 2023
  ",10,"My GOTY for 2023. A beautiful, sprawling adventure with fun, engaging combat you can get lost in for hours."
30,"
    Zossen
  ","
    Oct 29, 2023
  ",10,"Fantastic game, wonderful graphics and an enjoyable cliché story."
31,"
    TheCoffeeTalker
  ","
    Oct 25, 2023
  ",8,"The gameplay is absolutely phenomenal, it mostly returns to form on the Fire Emblem gameplay formula while adding its own new twists, and it does it so phenomenally. The story, however, is lackluster and leaves a lot to be desired. The story does bring down my score slightly, but the addicting and easy to pick up gameplay mechanics more than makes up for it."
32,"
    Scared-Switch
  ","
    Oct 17, 2023
  ",1,"This is a resurgence the worst Fire Emblem has to offer. They forgot everything they did right in Three Houses. The prior entry to FE3H was FE Fates which was slammed for being unoriginal with a terrible story, characters, and just shoehorned mechanics from better games before it. FE Engage was written by the same guy and it shows. Only difference is instead of cramming the mechanics from prior games in they just cut them out entirely. This is an anniversary game so nobody thought it'd be good but charging full price for this game is predatory. 

Want a good FE experience? Play Three Houses. Want more? Play FE9&10? Not enough GBA games and Awakening.

Only ever play this game if you're hooked on anime and strategy RPGs and can forgive terrible story, characters, and gameplay elements. Then play every other game in the genre before buy this one at a very generous sale price. 

Even if this game ran perfectly on switch (it doesn't) I'd Still be mad at Nintendo for betraying their fans like this. Don't give them your money or they'll think this is ok"
33,"
    Nefarria
  ","
    Oct 17, 2023
  ",2,"This game is bad. Really bad.

It is a step backwards in every single aspect. The story is embarrassing to watch, the story is moronically bad, the characters are the worst written Stereotypes I've ever seen. They really didn't try with this game. I'm in the middle of an ""emotional"" scene writing this review because it's that bad. The gameplay is a the definition of 1 step forward 5 steps back. Older FE games actually have more solid gameplay than this. It's also extremely irritating with the amount of input lag. Nintendo should be ashamed charging up to $90 for something that's barely worth $15. I like the genre which is why I'm being VERY generous giving it a 2. Seriously except maybe 1 exception this is the worst in the series. Do not buy or Nintendo will crap out more of them"
34,"
    Takumikun
  ","
    Oct 11, 2023
  ",10,Best tactical gameplay in the series. Best maps. Best events. I love engage and rings systems.
35,"
    XeonDarklight
  ","
    Oct 7, 2023
  ",1,[SPOILER ALERT: This review contains spoilers.]
36,"
    Tinka_86
  ","
    Sep 28, 2023
  ",3,"Just for content; I only played Fire Emblem games since the 3DS era. My first was Three houses though, which is still to date is my favourite game as I loved the story and the character development. 
Now for Engage… lets start with the good; Game play (as many other people stated before) is one of the best. I don’t care for the emblem rings, it became confusing when more than one unit was engaged on the map and I couldn’t distinguish who was whom, but other than that was ok. Love the return of the weapon triangle and the fact that they removed weapon durability. Art style is nice, but I don’t really care for it either. As long as there is a good and engaging (pun intended) story, they can be stick figures for all I care. That’s where my disappointment with Engage comes into place. The “story” (if I call it that…). It feels like a 5 year old wrote it. I never thought there would be a worse story than Fates but here we are. At least in Fates the support conversations were ok (some even enjoyable). In engage after 40 hours I just skipped them. I benched the first 2 characters from the start (cant remember their names, the twins or something). They were just sooo annoying. I benched them after the 100th time I hear the phrase “Divine dragon”. I just couldn’t take it anymore. I’ve seen that only 1 person wrote the whole story and supports for this game, which is a huuuuge task, but WHY ON EARTH would you give this task to the same person who wrote Fates’ story???? You knew already how poorly that game was received because of it’s story. WHY???

In every FE game the main thing is permadeath which makes you think twice and it adds to the suspense, but it only adds to the gameplay if you actually care about loosing your units. I didn’t care for them, so if they dies, well tough s****, I just moved on to the next one.  The menus and inventory management are (or at least was, not sure if they patched it) annoying; you need to travel between locations between loading screens just to check what skills a character has, or what you need to get it, then go to another location, duel, get those gems and go back and get the skill.
Music in this game also annoyed me. I love the soundtrack in every Fire Emblem I played, but this one I had to mute. Its just my taste though, but I still listen to 3H’s music to this day. I bought the Collectors edition of this game as I do with every FE game (heck I even have all the limited edition stuff from Fates as I liked Conquest’s maps) but I wish I just bought the normal one or didn’t buy it at all.

So just to summarise;

GOOD/OK

Gameplay
-Art style
-Weapon Triangle
-No kids (it was really overwhelming and Pokemon-like collect them all in Fates and Awakening)

MISSING / BAD

-STORY (or the lack of it)
-Character development
-Music
-End-story cards after beating the game like in 3H. I really liked this little touch just to know what happened to the characters (well…. Didn’t really care for these characters, but hope they will bring it back in future entries)

I really hope this is not where the franchise is going with future entries. Hoping the developers can check this site as the scores are not as great as they were/are with 3H. This game is a HUUUGE step back from Three Houses. Even from Fates…"
37,"
    JWil
  ","
    Sep 26, 2023
  ",10,"Fire Emblem Emgage is an awesome Turn based tactical RPG that continues to amaze all these years later. I also must give a shout-out to Intelligent Systems for their awesome music team. They also did music for games like Warriorware. Their chord progression and dreamy orchestral feel for Fire Emblem never ceases to amaze and I must talk about that too. Tithe game’s got something for the casual and hard core vet players as well which makes it a welcome addition to my collection.     The story is great to go along with it to boot. You okay the Divine Dragon in human form of course and you gather your forces together from different kingdoms across the land to prepare for a strategic fight of epic proportions against the Evil Dragon.      Mostly every character you come across in the game you can have on your team. I call this the Goku approach. It gives you something to look forward to, and I can say I like it a lot!      To me the game for multiple reasons is hard to dislike because they stick to the formula and along with that they give you all the older characters via Spirits from the Engage Character Rings. Marth is the first one you start with but it steadily expands to other characters from past FE games.       They even are doing DLC where more characters via rings and bracelets are available as well. You have a home base called Somniel floating in the sky. There is where lots of things go down. You can train characters and teach them new techniques from the rings they have with bond fragment points which are earned in a number of ways.      You can increase bonds with characters by doing all sorts of things together other than battling. You can increase bonds with characters and the engage rings/bracelets too.      It wouldn’t be Fire Emblem without classic permadeath and it’s there if you want it. It’s so funny if the main character dies he will still be alive for the story but he’s never with you in battle. So technically from a gameplay standpoint even the main character isn’t exempt from permadeath if you so choose that option.       Every character is well written and thought out and the interactions with each other is priceless. It was nice to see character diversity. They do a very good job with that. I dare say that Japan is better at marking dark/brown skin characters than most American games and that says a lot.       That’s one of the reasons they will always have my support, plus their games are just so fun! It’s hard to not like them! The music!!!! Oh My God! The music is absolutely banging on this game from the orchestral arrangements to how the best kicks in when things get serious in battle. From your side to the enemies side when it’s their turn to fight.      You can even control what music comes on how often and on which side during combat! I love little things like that! The game overall is incredibly fun and the DLC is very worth it. For me it was the first time for most of these characters.      Sadly the only ones I knew were Marth and Roy way back from Super Smash Bros. Melee. I of course got educated from the amount of other games and lore out there eventually, but I love how the game has these characters in there and shows their significance!     I give Fire Emblem Engage a 10/10! Absolutely amazing and I almost forgot to mention the animations and facial expressions of the characters were amazing and felt so real, you could feel for them and their struggles. I recommend it to anyone and everyone! A must buy for one’s RPG collection! Peace and happy gaming!"
38,"
    WolfCry9X
  ","
    Sep 22, 2023
  ",7,"Good Gameplay, I really love combats any Characters and Rings too
But writing Story so awful terrible.. Kinda Boring
Graphics look amazing and Cool
Divine Dragon Hero Gender so ugly colors hair Red/Blue and worst uniform... its bad"
39,"
    Sassyqueen
  ","
    Sep 16, 2023
  ",6,Good gameplay but I want to throw my switch out of the window the moment any character speaks
40,"
    giannis2001
  ","
    Sep 11, 2023
  ",7,"Very good gameplay but forgettable characters and story. I really liked the combat in this game, it has a great variety in characters, classes, weapons, abilities, and combinations with the emblems. The maps are very good as well. However, the story and the characters are just boring and uninterested. I didn't care that much for the story or the characters throughout the game."
41,"
    Blueking640
  ","
    Sep 8, 2023
  ",7,"Best gameplay in the series yet, with fun characters, but the story and world bulding is not as good as in Three Houses. This was an anniversary game, before it was delayed, and its clear that game does not take itself too seriously. Still a fun game, and the emblems add great gameplay variety."
42,"
    Traumvita
  ","
    Sep 3, 2023
  ",8,Imo one of the weaker entries for Fire Emblem but still a real good game. Feels a little too reliant on the Engage system. Story ****. Most characters are meh but a good chunk of them are likable. Level design is overall good with some nice variety and hazards. Giving the protagonist (Alear) a voice I feel was a good choice but not executed very well. Visuals are very very nice for switch game. A big step up from the previous entry FE 3 Houses. Does mostly good but some noticeable annoyances and step backs. I would recommend to any FE fans.
43,"
    jamesxpktro
  ","
    Aug 30, 2023
  ",8,This game is almost perfect for me the thing that I really missed are the romance stories and different ending that kept me from replaying this
44,"
    turbo_dweeb
  ","
    Aug 24, 2023
  ",4,this game is a **** poopy game and the characters act like f*cking youtubers that make videos for **** infants with ere*tile dysfunton. 4 out of ten poopy game dissapointment
45,"
    Stepney55
  ","
    Aug 20, 2023
  ",8,"It was a good time, a bit bare bones but it makes me more excited for the next game,
it was a real good time though."
46,"
    RooSell
  ","
    Aug 18, 2023
  ",8,"I disagree with the haters on this one.  Yeah, it lacks the social aspects of 3H.  For some, that's a positive thing.  I tend to skip those.  The story?. Far better than I expected it to be.  Simple, but interesting - with a few twists!. 7/10 for the story.  The characters range from interesting to irritating.  Too many anime trope characters.  5/10 for characters.  Graphics are lovely, bright and fun.  8/10 for that.  Music and voice acting is great.  8/10.  The battles are absolutely perfect.  Peak FE combat.  10/10"
47,"
    Wunpleum
  ","
    Aug 15, 2023
  ",9,"Love all the character in the game. And with a beautiful graphic and amazing gameplay, I enjoyed it a lot. Still meh story tho."
48,"
    fflatburger
  ","
    Aug 13, 2023
  ",6,"To many mechanics in the game,  the story was incredibly stupid, and return trips to the Sominel were always tedious, it truly could have just been a menu on the world map and I would have been so much more satisfied."
49,"
    TruthSeaker
  ","
    Aug 11, 2023
  ",1,"Absolute failure.
After phenomenal Three Houses, they decided to go with a weird and questionable V-Tuber route while ditching storytelling and characters alltogether.
Balance is also completely broken if you decide to do at least a little bit of resource/SP farming.
Even a decent combat system couldn't save this snoozefest ****."
50,"
    Totoques22
  ","
    Aug 9, 2023
  ",10,"BEST FIRE EMBLEM EXPERIENCE EVER The gameplay is so so so so good I wanted to replay the game as soon as I finished it the first time, it’s EXTREMELY well balanced as well you can go in hard or maddening blind and not be punished for it, the game also gives you what would be normally game breaking tool but somehow they don’t break the game and it’s still challenging, the map design is also top notch. Overall best gameplay in the series.

Don’t listen to the Three houses fans being mad this isn’t three houses 2(and thank **** its not)

The story is fine outside of a rough start and some cringe moment The characters are fun and enjoyable and after playing it every other FE has bland design in comparison The combat animations are absolutely fantastic they have impact on them like no other game and seing a cavalier go through a fence(because there was a fence on the map) before hitting someone will never stop looking good, there is also customized animations for every niche situations like fighting in stairs for example, sometimes instead of dodging an arrow it will be deflected and a dodges follow well into counterattacks I also love the art style and how the overall world look its colorful and pleasant to look at"
51,"
    Ruffikins
  ","
    Aug 2, 2023
  ",2,"My review didn't work, so I lost everything I wrote, thus I'll try to keep this succinct. For reference, I've been playing Fire Emblems for nearly a decade, since Awakening and unironically think that this is the worst Fire Emblem I've even played. Even moreso than Fates.

Story is strange, overly childish. Too many child soldiers, the cutesy aesthetic and how 'adorable' it tries to be clashes with previous games, which have always added a layer of depth and ominous themes, which while not being blatant enough to scare a child, could be enjoyed by mature audiencese. New and improved characters appear in every scene, causing you to become completely apathetic to their lore and stories. I've heard that the combat is amazing, but I disagree, it feels like it's downgraded. Moving throughout the terrain is clunky and each battle goes through the identical trope of, ""Click engage, wipe out an enemy, repeat"", being so tedious that it feels worse than its predecessors. There's also some weirdo character who is male, yet dresses up like a 'girl' and enjoys 'cute' things because he was groomed or something in youth. For a game that tries so hard to be cutesy and childish, it's just odd. Overall, stick with Awakening."
