,name,date,rating,review
0,"
    Ventu
  ","
    Apr 25, 2024
  ",8,"Pokemon Moon es un buen juego de Pokemon que intenta hacer cambios en la fórmula habitual. Introduce formaa regionales de Pokemon ya conocidos, lo cual es un acierto, y cambia los gimnasios por pruebas y Pokemon dominantes, lo cual es un buen intento por cambiar el enfoque de siempre aunque no me ha terminado de convencer. A nivel artístico y tecnico está bien, aunque no destaca. La principal pega que le veo es que tiene un diseño y una historia extremadamente infantiles para mi gusto. Si te gusta la saga recomendaría darle una oportunidad aunque solo sea por ver un nuevo enfoque."
1,"
    Agrisis
  ","
    Mar 3, 2024
  ",6,"Many new aspects of this pokemon game changed what was nice in previous generations and made it SLIGHTLY worse, removing gyms for instance. Generally it was just average game. Nothing exciting."
2,"
    Juudaii
  ","
    Dec 28, 2023
  ",9,"De mis favoritos de la saga, pero extraño las mega evoluciones, sino serían sí o sí mis favoritos de siempre"
3,"
    lostleader
  ","
    Nov 28, 2023
  ",8,"+ Actual Character Development+ Best Pokemon Story to date+ Lillie+ Aesthetics / mechanics of the pokemon battle menus and scenes have improved+ Trial system makes each island challenge new and exciting+ Team Skull~ Z moves are unneeded, yet balanced~ Alola Formes make certain pokemon relevant again~ Gen 1 bias~ Rotom talks a lot- Too much handholding from several different ways- Pokemon Picture system is bare minimum- Beginning of the game is a horrible turn off- SOS system makes catching / random battles more than a chore.- Game seems to lag with more pokemon animated on older 3DS"
4,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",10,Treasure!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
5,"
    Gasterthemaster
  ","
    Aug 8, 2023
  ",3,"Why is this game so bad? Like, XY wasn't great, but THIS? Why is this so terrible? I'm honestly shocked.
It's slow, boring, filled to the brim with boring-ass dialogue that makes up like 30% of the game, the most boring Pokemon fights ever and a mostly forgettable soundtrack (although a few songs are good).
Not a half bad Pokemon lineup, a few good songs, and the concept of the Ultra Beasts is cool. Those were all the positives.
3/10, if you want to replay all the Pokemon games, skip this one."
6,"
    Nian_008
  ","
    Jun 24, 2023
  ",10,"giochi meravigliosi i migliori giochi per 3DS, una storia che si distacca abbastanza bene dagli altri giochi il poke passaggio è un modo di muoversi migliore della solita bici spero torni in futuro"
7,"
    HydrophobikFish
  ","
    Jun 9, 2023
  ",6,"What fun this game is able to tease out of its innovations to the pokemon formula is stifled by lack of difficulty and extensive tutorials. Ultimately for all of its changes, it feels a bit like the game is jumping the shark. An ultimately forgettable pokemon experience."
8,"
    LBoomsky
  ","
    May 16, 2023
  ",7,"This game was the first to introduce big ass variants of pokemon, and I respect that."
9,"
    jacksalotl
  ","
    May 10, 2023
  ",9,"only ever finished 2 games ever skylanders swap force and pokemon moon.

one of the best pokemon and overall games I have played in a looong time"
