,name,date,rating,review
0,"
    Haggy101
  ","
    Feb 3, 2024
  ",6,Not sure why everyone is **** riding this game when Palworld is the greatest game to ever exist. And it's free on gamepass!
1,"
    JuggerBlut
  ","
    Jan 30, 2024
  ",10,"4th gen and 5th gen are the best pokémon games Game Freak has ever made.

Huge content, incredible musics, and a real artistic point of view."
2,"
    Juudaii
  ","
    Jan 4, 2024
  ",10,"Me fascina, la versión completa de esta generación, absolutamente recomendado para todo el mundo que disfrute de Pokémon"
3,"
    Klone
  ","
    Dec 1, 2023
  ",8,"Platinum is a perfectly well-rounded entry in the Pokémon franchise. While it’s slow gameplay, number of HMs and lackluster story holds it back -It easily makes up for it in difficulty, the selection of Pokémon and vast amount of useful held items. Not to mention the beautiful Sinnoh region."
4,"
    Mickoma
  ","
    Nov 28, 2023
  ",10,"Since I was played gen 3 pokemon game, this one version gen 4 is more than an improvement from the previous diamond and pearl. It was far more better than I expected, the intro was epic, the difficulty was balanced, enhanced pokedex, upgraded ui, the villain was more villain than the diamond and pearl, the distortion world is fricking shocker and etc. It's all mixed altogether into a masterpiece. I love the sinnoh pokemon, it was great, a lot of varieties and pretty nice design. But I was dissapointed when the copies sold was far than the expectation, although the quality they've given we're really great to fixed the sinnoh region. This version will goes into my heart, and it will be my best pokemon I've ever played."
5,"
    Daninone
  ","
    Nov 12, 2023
  ",10,"This game is absolutely perfect, at least for me.

It has the best story of any pokemon game (again, for me), and an incredible roster of new pokemon like Infernape, Torterra, Luxray, Staraptor, Lucario, Mamoswine, Weavile, Gliscor, Floatzel, Togekiss, Garchomp, Roserade and so on.

It also has a really balanced dificulty, an incredible champion, the best legendary backstories, pretty graphics, etc. This game brings back childhood memories like no other, and for that it's a 10 for me."
6,"
    JLGroudon
  ","
    Nov 7, 2023
  ",10,"Literally the best version of the game and one of best pokemon games ever made and I fact even better than of diamond and  pearl

Its funny to think this is sthe best version of the game cause brilliant diamond and shining pearl were worse than the original games"
7,"
    kup108
  ","
    Oct 24, 2023
  ",5,fine
8,"
    PyroRaider
  ","
    Oct 23, 2023
  ",9,"Gen 4 is known to be a top tier generation, and this game is no exception. Incredible Pokemon designs with a soundtrack that makes you want to replay every other pokemon game, and the legendaries are the best in the series. Slightly overshadowed by HGSS, but a very close (and well deserved) second place."
9,"
    Suprah
  ","
    Oct 18, 2023
  ",9,"Is it perfect? No, but it is f/cking incredible. 
Pokemon peaked in the distortion world."
10,"
    Frostfrog
  ","
    Sep 24, 2023
  ",9,Best pokemon game ever
11,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",10,Treasure!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
12,"
    litnlowkey
  ","
    Sep 8, 2023
  ",8,"The fifth entry in the most popular franchise in the world, Pokémon Platinum is arguably the best of the main game series. It takes everything its predecessors did before it and perfectly executes on every aspect of its design. The story is likely the best Game Freak has to offer and the writing of the story perfects what its sibling games Diamond and Pearl did have going for them.

If playing in the Sinnoh region for the first time, Platinum is the best way to experience it. The world and its lore is strong and engaging, with a sense of mystery to the story surrounding it. The way the player is introduced to some of the deeper elements of the story is masterfully done, and hasn’t really been replicated in a Pokémon experience since. Everything from the ominous set up of the box legendary, to the side stories, is crafted with the utmost care and creativity. The battles feel weighty and intense, with challenging fights against your rivals, to the most difficult Champion in the series to date. The soundtrack is a highlight of the DS Era. Pokémon Platinum is also home to some of the best battle music in Pokémon.

The fourth generation of Pokémon saw the introduction of some fan favourites like Garchomp, Lucario, and Luxray to name a few. This generation also happens to include the most well designed set of starters of all of the entries in the series. In fact it generally has some of the best designs of the series period, as many different Pokémon from this generation are infamous amongst the fanbase. Looking at the legendary offerings alone shows the strength of Game Freaks design choices.

The game, being a third entry to the fourth generation games, capitalizes on this fact by correcting most of the issues the original releases of Diamond and Pearl were plagued by. It furthered this momentum by altering the story and providing an excellent build up and climax. Pokémon Platinum stands out amongst the series as an extremely well polished and carefully crafted experience worthy to be named one of the best of Game Freaks offerings."
13,"
    Atonnie
  ","
    Sep 5, 2023
  ",10,[SPOILER ALERT: This review contains spoilers.]
14,"
    Manucci555
  ","
    Aug 23, 2023
  ",10,One of my first pokemon games and a game I'm extremely fond of. If only they made this an adult series.
15,"
    Eyean
  ","
    Aug 5, 2023
  ",8,"Platinum fixes every mistake the original versions had, and add even more content on-top of that. The changes to the engine, story, and post-game especially go along way to fully realize the potential this generation of games had."
16,"
    sathvik_
  ","
    Aug 1, 2023
  ",8,"This is my fav pokemon game of all time.
Idk what they did, its a same freaking nintendo DS, but to me at least it is visually BETTER than any other pokemon game ive played"
17,"
    Squaredash
  ","
    Jul 19, 2023
  ",7,"A very by-the-book pokemon game, but solid nonetheless. Good pokemon designs, decent leveling curve, passable story, a champion that’s way easier than everyone says she is, and a decently non-linear region that comes at the cost of the sheer number of HMs you need, requiring you to sacrifice a third of your team’s movepool just to navigate the region"
18,"
    ND-Bringer
  ","
    Jun 18, 2023
  ",8,[SPOILER ALERT: This review contains spoilers.]
19,"
    Hamza_yeet
  ","
    Jun 3, 2023
  ",10,The game is an amazing upgrade to diamond and pearl with the faster movement speed and things like the distortion world Pushing what Pokémon can do with the Ds this ai the perfect Pokémon game
20,"
    miguellopez99
  ","
    Jun 1, 2023
  ",9,88/100 d/p but 100x times better                                                                         .
21,"
    Fahdaad
  ","
    May 31, 2023
  ",9,"Pokemon's best designed region and best written lore all expressed through great art fun mechanics, ultimately pulled slightly back from its fullest potential due to the lethargic speed of the turn based battles."
22,"
    Marioipod
  ","
    May 25, 2023
  ",10,Excellent improvement on Diamond and Pearl. Well-needed upgrades like lore expansion and the Battle Frontier not to mention very good graphics. The Pokedex expansion also allows you to use more different Pokemon in a playthrough without being locked behind the postgame.
23,"
    AnthonyStf
  ","
    May 18, 2023
  ",10,"Pokemon platinum is a fanstastic game,  I love the music the graphics. But the battle frontier is the best one ever. The new sinnoh pokemon. Just everything about it."
24,"
    SuperSonic95
  ","
    Apr 7, 2023
  ",10,My favorite games!!!
25,"
    frightopia
  ","
    Mar 6, 2023
  ",9,"I would rate this on par with Pearl and Diamond.  There are some nice updates to it, however does not change nearly enough to truly justify a better score."
26,"
    Satsoku
  ","
    Jan 6, 2023
  ",10,"The best gen 4 experience hands down. Better than both the originals and their remakes. The music, the story and of course the selection of Pokémon are all perfect. Could not be better."
27,"
    ColeEngo
  ","
    Nov 30, 2022
  ",9,"Another banger pokemon game.  I had diamond, pearl, and platinum so I played through this bad boy 3 times straight as a kid."
28,"
    CaptainCharisma
  ","
    Nov 18, 2022
  ",1,"Game is super boring, Pokemon wasn't very good after gen 3. Play ruby sapphire instead."
29,"
    Third_Era
  ","
    Nov 16, 2022
  ",9,"Great region design, fun pokemon, and a decent challenge keep this game engaging. Also includes a lighter version of the battle frontier from Pokemon Emerald."
30,"
    Elveroliveira1
  ","
    Nov 9, 2022
  ",9,"It's a great game, even though it's another repetition of what has already worked in pokemon, the news is quite pleasant, the new region, new pokemons, enemies and allies, all are good, with the exception of the safari zone that in this game is more filthy than ever, everything fits well and flows well."
31,"
    RealDomtendo
  ","
    Nov 8, 2022
  ",9,Absolute beast ****. Played it back in 2009 on my DSI and it even holds up today.
