,name,date,rating,review
0,"
    TriviumLover69
  ","
    Apr 5, 2024
  ",0,"I don't know how much people here were paid to pretend the final part of a 60% complete game was good, but I wasn't paid anything, and I didn't pay anything for this game, and I STILL FELT RIPPED OFF."
1,"
    Lani337
  ","
    Jan 31, 2023
  ",7,"I am sorry, but this is breaking the concept of Fates. The inclusion **** route is completely against the idea of Fates. The Story might even be worse than the story of Conquest, it hurts, especially if you enjoyed the other two games. The gameplay is decent, but this is mainly due to the Fire Emblem formula being awesome to begin with. Map design isn't great and you just get way too many (under-leveld) units."
2,"
    Plumbo2000
  ","
    Jan 29, 2023
  ",0,"Fails as a game.
Fails as a story.
It's probably the worst FE experience in the franchise. The gameplay, cast and story are all pathetic. I have no idea what the critics saw in this one. Then again, user reviews are usually more accurate."
3,"
    hector_bcn98
  ","
    Nov 4, 2022
  ",7,Buen mix de los dos caminos sin ofrecer demasiadas diferencias. Se vuelve a ir de dificultad cinco pueblos.
4,"
    ssjkale1987
  ","
    Apr 21, 2022
  ",10,"I absolutely loved Revelation but was annoyed that it could only be bought on the nintendo eshop. At first i didn't want to buy the third path but i'm glad I did. Refusing to take sides, trying to gather allies to stop an evil threat felt even better here. The low point is that there are too many plotholes here. There were plotholes in Birthright and Conquest but not as much.Fire Emblem Fates was my first game in the series. I enjoyed every path and rated a 10/10 each time because each iteration had a good plot, especially Conquest, had a awesome gameplay each time, each path felt different from the others (with Revelation being even more interesting due to the fact you refuse to take sides) and i never felt bored.  All the bashing and hate about this game is a mystery to me.. Maybe i'll find other fire emblem games even better but this one was the first and the one that made me fall in love withe the fire emblem games."
5,"
    MedoElNaby
  ","
    Jan 31, 2022
  ",9,"Fire emblem fates revelation and just fire emblem fates as a whole even with the problems is a game I still no matter what, always remember fondly. While it's story could certainly go for some improvements in several areas, everything else from it's gameplay and map design across all 3 pathways are varied, well made and has  something for all types of fe fans, to it's top notch soundtrack and voice acting. I know it's not everyone's cup of tea and I understand why so many others dislike it but maybe, if you want, give it or at least one pathway a 2nd shot and maybe with all 3 reviews in mind, you might see it in a different light."
6,"
    ZXSth
  ","
    Aug 20, 2021
  ",9,"Fire Emblem: Fates is, surprisingly, an astonishingly worthy follow-up to its predecessor, Awakening. While it may not appeal to those in the fanbase looking for a hardcore, merciless strategy-RPG, Fates is extremely entertaining.

Fates continues Awakening's move towards accessibility and lowering the bar to entry - Casual mode returns, and most weapons no longer break after multiple uses (save for healing staves and rods). Revelation, in comparison to Birthright and Conquest, brings an end to the story those two games began, setting aside the option to explore two divergent paths in favour of a singular, cliché conclusion that is very much the standard for most of the games in the series (an evil dragon god of some sort being at the heart of all the evil in the game). While Fates' story is less compelling than Awakening's increased depth in certain areas (especially some of the game's mechanics) combined with the aforementioned lower bar to entry makes this a great time, and invites multiple playthroughs.

If you enjoyed Awakening, I can almost guarantee that Fates will scratch the itch for more Fire Emblem. While it may not always do enough to differentiate itself from its legendary predecessor (even shamelessly aping some of its characters), it is a fantastic game in its own right that continues the upward trajectory that Awakening began for the Fire Emblem series."
7,"
    BasilZero
  ","
    May 22, 2021
  ",9,"Game:  Fire Emblem Fates Revelations
Genre:  Strategy RPG
Developer: Intelligent Systems
Publisher:  Nintendo
System: Nintendo 3DS (3DS)
Year of Release: 2016
Length of Playthrough: 45 Hours

Total Score: 94/100
Value Score: 9.4/10

• Story: 10/10
• Characters: 10/10
• GamePlay: 10/10
• Graphics: 9/10
• Sound: 7/10
• Music: 8/10
• Length: 10/10
• Replay Value: 10/10
• Player Value: 10/10

Pros
+Great story and character interactions
+Self contained story with a choice that affects characters being available or not
+Marriage system in tact from Awakening
+Art and character design as great as Awakening
+Customizable town system
+Sidequests available that are free and also from marriages
+Complete story compared to Birthright and Conquest
+Includes all playable characters and My Castle items from the other two routes

Cons
-Voice acting limited compared to Awakening
-Full story divided into two other games and as separate DLC
-No maps to grind for money or exp unless you buy them as DLC

---

Series Scorewise comparison sake

Fire Emblem Awakening (3DS): 94
Fire Emblem Fates Birthright (3DS): 93
Fire Emblem Fates Conquest (3DS): 92
Fire Emblem Fates Revelations (3DS): 94
Fire Emblem Echoes Shadows of Valentia (3DS): 90"
8,"
    piff2000
  ","
    Dec 29, 2020
  ",6,"Like the rest of the fates games, I like the mechanics. However, the story in this one is really dumb and a lot of the maps are too gimmicky. The other two dates games are much better unless your priority is shipping all the characters from both sides."
9,"
    ShadowChozo
  ","
    Nov 19, 2020
  ",2,"Revelation isn't just the worst of the Fates trio, it's the worst Fire Emblem game, period.
*The story is a nonsensical journey strung together by one ""shocking"" revelation after another. Worse still, because this is seen as the golden route, Birthright and Conquest are effectively invalidated.
*Unit balance is a mess, ranging from flagrantly overpowered units like Ryoma or Xander, to lv.10 unpromoted units that can barely survive the maps they're recruited in, giving you little room for experimentation.
*The gimmicky level design and inconsistent enemy strength makes repeated playthroughs a chore"
10,"
    sammich822
  ","
    Sep 6, 2020
  ",6,[SPOILER ALERT: This review contains spoilers.]
11,"
    frederik1478
  ","
    Feb 13, 2020
  ",6,second best in the  FATES  trilogy It has a satisfying ending  So buy it !!
12,"
    iMustang
  ","
    Mar 26, 2019
  ",9,"This has been a long journey, spanning 3 different games and over 100 hours, but Revelations was by far the best, both in terms of story and gameplay. No deaths that stabbed you in the heart (in the same ways as the previous games at least), earning exp from castle battles, and a massive cast of playable characters were only a few of the things that took their already great game and made it even more amazing. This was a journey worth building up for, and the Finale did not fail to deliver. If you've not gotten into Fire Emblem, there is no better time, I promise you."
