,name,date,rating,review
0,"
    Lucas1111
  ","
    Apr 30, 2024
  ",2,"Please don't play this game, The game is a clunky mess.
Its sad to see what they are doing to the Pokémon franchise.
This game is way to easy because its open world, there is bugs everywhere, and my phone could run the game better.
This game would be better if it wasn't for the switch's limitations.
This game is a wake up call for Nintendo to release the next console."
1,"
    Springblue
  ","
    Apr 21, 2024
  ",8,The game is great and it makes fun the only 2 Things i have to say are it get's boring if you play to long and the graphics aren't the best but the music and everything Else is really good
2,"
    Critic109
  ","
    Apr 13, 2024
  ",8,"( I played this game a bit after the actual release so my opinion is on the later versions). Pokémon scarlet/violet is generally a good game. It is definitely a great step into the right direction for future Pokémon games. Its open world is very expansive but has some flaws. When I was playing the game, I didn’t notice any major problems aside from some slight frame drops like in the large lake area in the north west . Even after completing the game and finishing the Pokédex, I didn’t have any visual or physical bugs aside from two small glitches, which didn’t affect my gameplay. While yes, the open world has flaws, I think it’s still amazing.  The story is nothing to scoff at as well, the characters are interesting and refreshing. The story keeps my attention and makes me actually want to see what happens next. I understand why it was released when it was, but I feel that Nintendo should just take their time to make games at full potential. I hope to see great things from the Nintendo company."
3,"
    That_0neGuy
  ","
    Apr 9, 2024
  ",8,"I rated this game an 8/10 because although the game is very fun and entertaining, there are still bugs in places. I didn’t get the game as soon as it came out, so I was not a part of the group of players who had to enjoy the game while it was virtually unplayable due to massive glitches, bugs, and extreme lag. Though even after many bug fixes, it does still lag a bit under certain conditions but not to the point where you cannot work around it. I have 200+ hours in the game after finishing it in its entirety and sometimes the lag in specific areas still annoys me but I have been thoroughly pleased by the outcome and the DLC only adds to that delight. Being only the second game I’ve owned of the franchise and coming after what I've heard be considered a groundbreaking approach to the game, I was still extremely satisfied."
4,"
    hyanaigi
  ","
    Mar 26, 2024
  ",5,"Eu gostei do jogo. O competitivo é muito bom e bem dinâmico. Se bobiar é uma das histórias mais legal da série. Porém tem alguns problemas

Mas o que me faz da uma nota baixa assim são alguns problemas...primeiro devo admitir que drop de frame pode ser uma dor para alguns, mas para mim não foi a pior coisas....onde eu acho que o jogo mais me decepcionou foi em não aproveitar o mundo aberto com mais coisas para serem feitas o que faz o mundo parecer vazio( poderia ter aprendido com Zelda BoTW) além disso um outro fator que realmente me deixo louco foi a falta de uma dublagem, mano isso destruiu muito a imersão do jogo é estraga totalmente a narrativa, pelo menos para mim foi uma dor não ter dublagem e um outro problema que acontece que também é um porr é o bug de quando você entra na luta e não consegue ver seu pokemon...e para fechar chave de ouro o problema de otimização, que novamente como já falei antes poderia ter aprendido com o zelda. Comprando a preço promocional é um jogo que acaba valendo a pena"
5,"
    Jakov000
  ","
    Mar 14, 2024
  ",8,"Honestly I can see why lots of people hate this game, but at the same time I absolutely loved it, from start to finish, it was the first game that replayed more than once, it keeps you locked on the scree, it's the first game that made me want to complete the Pokéde, the 3 stories we're top 3 of the franchise, there were lots of technical issues but sometimesi didn't even felt them, the Music was awesome and some parts of the map(I don't particularly like it) are beautiful.
I hink haven't had a good experience witha Pokémon games since Black and White 2, this game made me fell in love again withthe franchise and even with all their faults I had an incredible experiencez there are som many things to do and now it's bug free, so you can play it really well, the only thing is the fps drops but it's not that big of a deal, I’ll always wish that Game Freak had taken another year or maybe even just a few more months to polish it enough to be playablefrom the start."
6,"
    Guscha
  ","
    Mar 6, 2024
  ",9,Despite graphical and perfromance issues (which was never the focus of the series) these games are the most fun I had with Pokemon in a long time.
7,"
    Sage_Sips34
  ","
    Mar 5, 2024
  ",8,"Just horrible. Forced exp share, **** ps2 graphics, memory leak, bugs, no more set moves, no building interiors, bland and empy world. An utter embarrassment."
8,"
    HDSpeed19
  ","
    Mar 2, 2024
  ",0,[SPOILER ALERT: This review contains spoilers.]
9,"
    Sunocloud
  ","
    Mar 1, 2024
  ",10,"Straight up the best game dude, it was pretty bad in the start but now (2024) it is basically bug free and it is very good, and the dlc it is just top tier, even without the dlc you have a lot to do in it. It is not like what others said it is better waaaaaaay better

Would definitely recommend."
10,"
    PierDarKnight91
  ","
    Feb 28, 2024
  ",2,"Che Brutto, che grafica scandalosa, che brutti pokemon, che storia e che interazioni, gioco che ti parla come se avessi 2 anni, metto due solo per qualche pezzo di storia raccontato bene solo grazie a dei libri che si trovano nella scuola"
11,"
    ThatMonkeChimp
  ","
    Feb 26, 2024
  ",10,"The open world was very fun and welcoming addition to the pokemon franchise! I hope they use it a lot more! I saw reviews saying it was ""un playable"" I bought it a week after release and despite the lag in the water it was very playable. Barely glitches and the glitches I did have were ones that didn't affect gameplay! The story was good, great characters, and overall a very fun game! I would recommend this to a lot of people!"
12,"
    triffy
  ","
    Feb 18, 2024
  ",1,"This game is awful. Which makes me angry and disappointed, since I would have loved for this game to be good. It starts with the frame rate, which in it alone makes the game a chore to play. Then there is the boring empty open world, which is nice to see the first time only to realise there is barely anything of interest. The towns are empty shells. There are basically no side quests, you cannot enter any houses excerpt like 5. The gameplay is there somewhere and the pokemon models look awesome. But this is not enough and the game is an unfinished mess we all payed for. Some twice. Gamefreak / Nintendo promised to fix something, but nothing happened a year after release. I hope they are all ashamed. Isure am for playing this."
