,name,date,rating,review
0,"
    OnurKonuralp
  ","
    Apr 23, 2024
  ",9,"Characters are deep, interesting and progressive. Simple yet quite adequate class system. Story and cinematics are beautiful and really liked the combat because it's challenging."
1,"
    davu
  ","
    Apr 23, 2024
  ",10,non voglio fare una vera recensione ora ma semplicemente il miglior gioco per nintendo switch e il miglior fire emblem! probabilmente avrai visto nella lista amici del tuo switch tantissme persone con 2k+ ore a questo gioco solo questo ti dovrebbe  far riflette visto che nel 2024 e con un altro fire emblem uscito è ancora cosi estramemente popolare giocato! sappi te che stai leggendo che se deciderai di giocarlo stai per giocare un gioco che metteral nella tua top dei giochi di tutti i tempi! un classico moderno!
2,"
    Topokki
  ","
    Apr 9, 2024
  ",4,"How can Final Fantasy Tactics continue to be the best strategy game 27 years later?

Seriously, the history in this is just like a bad theatre play, the unavoidable chores are like being forced to play Tamagotchi between battles."
3,"
    TriviumLover69
  ","
    Apr 5, 2024
  ",0,Don't give the Time Control Mechanic a use limit if you're going to make RNG this unfair to the player. Anyone who played this game and liked it played on easy mode and didn't notice how bad the RNG is.
4,"
    wyattbosch
  ","
    Apr 3, 2024
  ",7,"Fun combat, not the greatest. Social aspects are fun at first but burn out on it 2/3rds in. Story weak. 

And my gameplay was ruined by selecting normal and halfway through it becoming way too easy and game doesn't allow you to change difficulty."
5,"
    Ffdq
  ","
    Apr 2, 2024
  ",8,"It's a good game, but not good enough to give it a 9 or 10. The game has some annoying issues that were less present in previous Fire Emblem games, such as the design of the battle maps and the unbalanced difficulty level. Additionally, the side activities in the game are very boring, especially the side quests, whether it's in their execution or their stories. Overall, the side activities are repetitive throughout the game and are not interesting or motivating enough to complete. On the other hand, the story and characters were not up to par in the first half of the game, but there was a significant improvement in the second half. The truth is, the story and characters in the game are its biggest positives. While the combat is enjoyable, it lacks challenge, and the design of the battle maps does not encourage strategic thinking and planning."
6,"
    btl630900
  ","
    Dec 1, 2023
  ",9,"I had no idea fire emblem was THIS GOOD. a compelling very strong three route story with solid gameplay, great conflict and story, great characters, classes, style and execution. Its sytems lead to a very satisfying loop that keeps you hooked at least one house in and more beyond. It sucessfully makes multiple battes and units feel impactful and causes tons of varied conversation of main antagonist and plot, leaving an impact. Whole im sure older games with weapon triangle have more to battle systems, this game stands out for its character social link like systems making every character feel important and involved and this doubles when theydo well in combat rewarding the players efforts really well. The music is amazing just amazing. Wow. This game is SO good!"
7,"
    ronjeremy69
  ","
    Mar 11, 2024
  ",9,"Really enjoyed this one, the character evolution is very compelling and the battle system is very fun. The replay ability is pretty wild, I spent about 50 hours on the first track and was ready to go into a new replay pretty much instantly.

My only gripes are that the monastery sections get a little repetitive as the game goes on and that the battles can sometimes be a little too predictable."
8,"
    Lencabral
  ","
    Mar 11, 2024
  ",9,"Amazing game that has incredible replay value. The monastery system has a steep learning curve but is incredible fun and rewarding once you figure it out. Game is an appropriate challenge on Maddening, very difficult and requires some planning, but not unfair. I deduct one point because the game occasionally rewards grinding, such as fishing providing prof exp. Also not a big fan of tea parties rewarding you with charm, since they become important later on and are incredibly random and boring."
9,"
    Masterimplement
  ","
    Mar 5, 2024
  ",10,This games gets a 10 not because of the first playthrough but because of the 4 different playthroughs that all feel like different games. It was a great twist. The game added many things to keep all of the playthroughs fresh as well.
