,name,date,rating,review
0,"
    Swagger08
  ","
    May 10, 2024
  ",4,"We are nine generations in and we still do not have voice acting. Everyone defends this by saying its 'tradition' but in my humble opinion it is just laziness on Gamefreak's part. Terrible graphics, framerate, just an awful experience for the ages."
1,"
    Zeldren
  ","
    May 6, 2024
  ",8,"C'est mon 1er Pokemon ever et j'ai passé un très bon moment dans cet open world. Oui le scénario est naze, oui le jeu est moche. C'est chiant mais clairement la collection des pokemons est chouettes et les nouveaux Pokemon sont très chouettes."
2,"
    Ventu
  ","
    May 2, 2024
  ",7,"Pokemon Violet es el nuevo juego de la saga principal que vuelve a intentar modificar la fórmula habitual. En esta ocasión el nuevo enfoque funciona y se convierte a nivel jugabilidad y libertad uno de los mejores juegos de la saga. El mantemer los gimnasios añadiendo otras rutas complementarias crea un mundo abierto muy entretenido. La historia me da la sensación que cada vez es más infantil, aunque la parte final mejora. Lo que no tiene perdón, es lo malo que es a nivel técnico. Mala optimización, bugs y sensación de lag continuo mientras juegas. Es la primera vez que me ha costado acostumbrarme jugar a un juego por su mal apartado técnico. Solo por este apartado merece una nota de cero. Si te gusta Pokemon, es una revolución que hacía falta a la saga, pero ve siendo consciente de que a nivel técnico es posible que hasta que te acostumbras te quite las ganas de jugar. Le pongo un 7 intentando valorar lo bueno, que es un 9, pero el 0 del apartado técnico me hace imposible pasarlo por alto."
3,"
    SKK-Sceptic
  ","
    Apr 28, 2024
  ",6,it gets pretty boring because it does not have voice acting which makes hella boring
4,"
    Thegoodcritic
  ","
    Apr 27, 2024
  ",7,"This was a average game from game freak  the story is nice and for my cousin who it was his very first Pokémon game it he’s been his favorite Nintendo switch game, the graphics should be better, and if they took a little bit more time to correct errors and make the graphics a bit better the game would be way better"
5,"
    ReptileYT
  ","
    Apr 22, 2024
  ",10,Third my favorite Pokémon game (the first one and the second one are Pokémon Platinum and Pokémon Black and white
6,"
    Apolloniusus
  ","
    Apr 11, 2024
  ",10,So good story maybe some drawbacks by the performance But still such fun to play pokemon game
7,"
    Donut_Doggo
  ","
    Apr 8, 2024
  ",3,"bad graphics, bad story gameplay is mid as usual, just a boring experience through and through. for the biggest gaming franchise ever, I expect better than **** graphics. Palworld is justified by the fact that it's better than the mainline Pokemon games."
8,"
    PROTOTYPEJESUS
  ","
    Apr 7, 2024
  ",8,Muy bueno en general. Esta sobrecriticado. Tiene errores en el apartado visual algo criticos pero no deja de ser un excelente juego.
9,"
    suuuuuuuu
  ","
    Apr 6, 2024
  ",10,[SPOILER ALERT: This review contains spoilers.]
10,"
    kas666
  ","
    Mar 30, 2024
  ",3,"I really love the pokemon franchise, but this literally hurts to play

- The open world seems empty and uninteresting 

- The game obviously has a lot of bugs, which makes it really annoying to play and it takes away nearly all the fun from running around in the world

- The game just closes itself a lot of times

- I don't really like the graphic and it also has a lot of errors (often the game looks like a really bad stopmotion video)

- even if the game is pretty old now, nintendo still didn't gave us updates to fix the bugs

+ the pokemon sprites are really pretty :)


All in all there are just too many things that feel off and take away the fun of the game.
The game just feels unfinished and kinda like it shouldn't even be for sale the way it is right now"
11,"
    Jemo3695
  ","
    Mar 29, 2024
  ",4,"There's a game in this bug. But seriously, this game looks empty and soulless. The 'minimalistic' battles look like half of the textures and animations were cut due to insufficient development time, and I, a hardcore fan, really wanted to close the game and play something better instead after just five seconds."
12,"
    spiceice92
  ","
    Mar 20, 2024
  ",3,"Extremely bad, boring and very time wasteful! 
I am someone coming from Pokemon Legends Arceus as my first game in which I spent 65 hours playing. Scarlet & Violet feels like a game which is 10 years older than arceus. I don't recommend it at all, last but not least, it is very ugly to look at. I really can't find any aspect to like in this game, except it has more animation and more colourful!!Honestly stay away from this game!"
13,"
    Khanthedruid
  ","
    Mar 19, 2024
  ",0,It kind of feels like the game plays itself for you. It's less grindy and less fun for it. I am almost done with the game and have like no sense of accomplishment or desire to actually finish.
14,"
    Jakov000
  ","
    Mar 14, 2024
  ",10,"Honestly I can see why lots of people hate this game, but at the same time I absolutely loved it, from start to finish, it was the first game that replayed more than once, it keeps you locked on the scree, it's the first game that made me want to complete the Pokéde, the 3 stories we're top 3 of the franchise, there were lots of technical issues but sometimesi didn't even felt them, the Music was awesome and some parts of the map(I don't particularly like it) are beautiful.
I hink haven't had a good experience witha Pokémon games since Black and White 2, this game made me fell in love again withthe franchise and even with all their faults I had an incredible experiencez there are som many things to do and now it's bug free, so you can play it really well, the only thing is the fps drops but it's not that big of a deal, I’ll always wish that Game Freak had taken another year or maybe even just a few more months to polish it enough to be playable from the start."
15,"
    emphasisondave
  ","
    Mar 8, 2024
  ",10,This game is awesome and I can't believe the low ratings. It's exactly the right interpretation of what open world pokémon should be like when it's translated from the DS and from pixel art. The special pokémon is awesome and the story is fun.
