,name,date,rating,review
0,"
    lil_t0d
  ","
    Feb 18, 2024
  ",10,"best pokemon experience avabile. still in 2024 no doubt, absurd that y and x have a better score"
1,"
    SpikeFera
  ","
    Feb 12, 2024
  ",10,"Best pokemon game ever made in history, how incredible this game is it looks like a joke, animated sprites, a magnificent story it also has the biggest pokedex so far"
2,"
    UrbanOtaku
  ","
    Feb 11, 2024
  ",9,"This game is rather alienating to veterans of the series, I get it. It's weird to have a roster of 150 fresh Pokémon, and have some of them be superior overhauls of previous designs in the series, such as the mysterious Musharna over the disturbing Hypno, or the drill-headed Excadrill, a redesign of the bland (yet SOMEWHAT amusing) Dugtrio. It's weird to have Bug and Poison Types that are actually usable and aren't just Route 1 Pokémon. It's weird to give a Pokémon game an actual story with actual plot, and a deep message about not submitting to the way others think and how they want this world to run. It's weird to have a region with environmental diversity (Hoenn aside). It's weird that they wanted players to have a breath of fresh air in the Regional Pokédex and not have Pikachu shoved into their face for the 800th time. It's weird how TM's are actually usable now and you don't have to fear losing one forever.

This game is a gem and Sinnoh stans and genwunners should stop crying."
3,"
    Stotch303
  ","
    Nov 16, 2023
  ",5,"I have played all other main pokemon games,and for me this one is clearly the worst of them all. Yes the scenario is great, yes the musics are also great (just like in any other pokemon games) but the pokemon are forgettable and you will face only three of them until the 3th badge. When I play pokemon I want to build a good team and then face challenging opponents, but in this one I just kept my starter and destroyed the 4 first arenas. Then I just stopped playing because I was bored. 5/10"
4,"
    Slavikk
  ","
    Nov 12, 2023
  ",9,"For me, this is the first true 3D game in the main series. I like the fact that the gamefreak tried to break away from the previous games, it feels like a breath of fresh air. The only thing I didn't like is that the moral of the story is too straightforward. I would even say childishly sugary. Nevertheless, I look back at society nowadays and realize that many people do not understand even such basic morals, so we need such stories, that teaches us simple things."
5,"
    leojj0303
  ","
    Oct 25, 2023
  ",4,"Worst pokemon game.

Yes it has a great scenario, but the scenario is not the thing I want to be good in a Pokemon game. The new Pokemon are forgettable and there are not enough of them. You will always see the same Pokemon in tall grass, against the other trainers, team plasma, everywhere, which makes this game pretty boring"
6,"
    Roykya
  ","
    Oct 23, 2023
  ",9,Pokémon with Good writing
7,"
    Suprah
  ","
    Oct 18, 2023
  ",8,"Golden age of Pokemon.
Ngl, the story isn't as amazing as people gas it to be, and it doesn't ""answer"" or ""confront"" any real issues/questions like youtubers like to say. It was great, just not THAT great"
8,"
    Im_Mail_Reviews
  ","
    Sep 29, 2023
  ",9,[SPOILER ALERT: This review contains spoilers.]
9,"
    FegDotExe
  ","
    Sep 25, 2023
  ",9,[SPOILER ALERT: This review contains spoilers.]
10,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",10,Treasure!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
11,"
    Atonnie
  ","
    Sep 5, 2023
  ",9,"très bon jeu qui a voulu j'imagine marqué le coup les animation des pokemon en combat sont spécial en tout cas pr l'époque mais se n'est pas une mauvaise chose en soit ca apporte du changement, l'histoire est excellente une des meilleur des jeu pokemon sur ds"
12,"
    Caffe
  ","
    Sep 4, 2023
  ",8,"possibly the best pokemon game. the most interesting story of the franchise, much darker than the other games. i love the aesthetics of the game. the pokemon and character sprites are my all time favorite. it's engaging and fun. the main flaws are some unwatchable pokemon."
13,"
    HornyConsuelo
  ","
    Aug 15, 2023
  ",9,Probaby the best pokémon game that Game Freak has ever delivered to us players!
14,"
    Cer2xrafa
  ","
    Aug 7, 2023
  ",9,"El mejor juego de toda la franquicia, innovación por todas partes, un juego donde la dificultad es más elevada que el resto de títulos, un mundo que se siente vivo, con el elemento RPG siempre presente y con la mejor historia dentro de la saga, la mejor aventura pokémon"
15,"
    ND-Bringer
  ","
    Jul 1, 2023
  ",8,[SPOILER ALERT: This review contains spoilers.]
16,"
    Hochbichler
  ","
    May 26, 2023
  ",8,"Pokemon White is one of the two main games of the fifth generation of the legendary Pokemon games franchise (the other being Pokemon Black). It was released in 2011. The game follows the tried and true recipe of a Pokemon game. This time you travel around the Unova region, apparently based on the greater New York area. You get a great story, fighting the mysterious Team Plasma, having fun with your annoying friends and battling your way around the obligatory loop. There is a great deal of post-game content available after you beat the Elite Four for the first time. There is a weird level jump that might force you to grind paradoxically right after you beat the Elite Four. Otherwise it is top notch. The graphics is likeable. The difficulty is not great, but it can still get challenging at times. You do not meet Pokemon from other regions until you beat the Elite Four, which kinda ****, only because the fifth generation Pokemon are really ugly. Very personal opinion, of course. I played this game on PC using the DeSmuMe emulator. No microtransactions or SJW politics are present in this game.

Pokemon White is a very good game with interesting gym design and ugly Pokemon. Final Verdict: 82%"
17,"
    Danikyo-Inverso
  ","
    May 13, 2023
  ",0,"Lo peor en toda la saga, pokémon feos, una historia pretenciosa y mal escrita, y es la región de las barreras y los bloqueos absurdos, no hay lugar a donde ir sin que el juego no sepa justificar adonde puedes ir y adonde no, ademas que es fácil en todos sus lideres de gimnasio, no existe reto alguno."
18,"
    frightopia
  ","
    Mar 6, 2023
  ",9,I would give this game a 10 but the sequel honestly is a bit better.  Still an amazing game though!
19,"
    Unnypops
  ","
    Nov 30, 2022
  ",3,"The year is now 2022 and everyone remembers these games fondly. I personally have no idea why. They’re not hard like everyone says? They’re easy. They story isn’t amazing like everyone says? It’s only N who’s interesting. The post game isn’t waaaay more interesting then other games? It’s the same formula as the other games. Elite 4, catch all Pokémon. This game is praised as being the best Pokémon game and ALL others released after it are “so beyond bad”. I beg to differ, this is the game that started the annoying trend in Pokémon games of characters non stop talking. The game that started the button mashing. Sun and Moon are the worst for non stop talking but this is where it started. This game also has next to no variety in Pokémon. Early game you’re so very limited for choice, end game you have more choice but it’s end game. Lame. This game also gave us the elemental monkey Pokémon so ew. 3/10."
20,"
    Ben3033
  ","
    Nov 19, 2022
  ",8,"One of, if not the best Pokemon games. Great visuals and spritework, an interesting story, cool new mechanics such as triple battles, and the game actually has a degree of difficulty at times(which the newer games lack). Lots of post-game content as well."
21,"
    hector_bcn98
  ","
    Nov 7, 2022
  ",9,"La generación pokémon con la dificultad más alta de toda la saga y una banda sonora de locos. Lástima que, al compartir plataforma con la anterior, no innovó tanto, y aún con esas, sacaron una segunda parte de ellas. Sería utópico pedir otra generación que rete tanto al jugador como lo hizo está. Son otros tiempos..."
22,"
    stupidopinion
  ","
    Jun 22, 2022
  ",9,"Realistically this game probably isn't a 9 out of 10. It still falls into many of the pitfalls that the other pokemon games do. There's a lack of difficulty, simplified gameplay, and a lack of significant change when compared to the other games. However, I still love it. Beaten this game and Pokemon Black maybe 5 time combined and every time I enjoy it just as much. A surprising step forward for pokemon when it comes to storytelling, as this time it actually poses questions and ideas that encourage the player to think about the actions they are taking, even if it's still comparatively basic to other RPG stories. The sprite work and world design is at its best here, love the culture of Unova and its varied settings. I like how the gym leaders actually play a role in the world and in the story, with you often times working alongside them, instead of just doing a fetch quest for them or finding them in a random spot. Has some of my favorite music in the series, namely Ns theme, Driftveil, Nimbasa, and the Elite 4. Has it's flaws but I just like it too much not to rate it highly."
23,"
    CharlestonBit
  ","
    May 29, 2022
  ",10,"This seriously is the best game I have ever played. The gameplay is fast, yet satisfying as well as all of the characters. Arguably one of the best stories in all of pokemon. AND THE MUSIC HOLY COW. I could go on and on for hours about how incredible the game actually is, however I guess for now I'm just going to leave a 10 on this one : )"
24,"
    TSNintendogamer
  ","
    May 4, 2022
  ",10,"This  is one of my  favorite pokemon  games of  all time.  I love the story.  It's even alittle disturbing and sad but that's  at the end.  I  remember getting the game and beating it in a few weeks.  I needed my  brothers pokemon  to beat the final bosses.  The game can get hard  and  while some  people may  complain about the game being linear, I don't mind  because pokemon ruby and sapphire was  pretty much just as linear and no one complained.  However pokemon  white  2 has way more exploration.  I  also have to say that the post game isn't the best, it's  still  a better post game than some of the other previous  games.   One thing I also love is  that they unlocked the older pokemon  at the post game so that way I can  get acquainted with  them rather than  just use older pokemon.  Lastly this game is nostalgic  to me because I played  more of the game after I beat it during the time I graduated  high school.  There was ship I went  on  during that time  and then when I started playing the game again, I went on the ship and  it was  one of the most magical feelings  I got.  Especially with the music.  Who cares  about some ice cream pokemon."
25,"
    yangfanhong
  ","
    Mar 14, 2022
  ",8,The story of this Pokémon game is different from its predecessors. It’s more serious and trying to be mature and profound.
26,"
    Fer1678
  ","
    Mar 1, 2022
  ",8,"I remember playing Pokémon White when I was a child and having a hard time knowing why B/W even existed, but the more I grew, the more I noticed that Pokémon B/W are indeed the best games in the franchise even at this day.
Pokémon B/W succesfully tell the most mature plot in any Pokémon game, making a focus on character development and presenting a constant clash between truth and ideals, making this the reason of the names, different ways of seeing something, but more than dividing in Black and White, finding shades of gray between both. That made a huge impact on me when playing this game at this age.
Pokémon B/W shows different ways of growth and acceptance with our rivals, N, Bianca and Cheren, every one connected to the main character in one way or another, but at the same time, so unique and far away from our truth and ideals, each having their own. In this game, even characters like Gym Leaders are important, and the champion is arguably the best in any Pokémon game, helping our characters to grow and develop.
Pokémon B/W made a daring decision with its art style, making moving 2D sprites and taller more mature looking overworld, using sometimes 3D animation, something unbelievable taking into consideration Nintendo DS' hardware.
This game also introduced the most amount of new Pokémon, making team building feel fresh and unique, as if back on Red / Blue. A lot of people didn't like this, but in my opinion, it changed the way I played future titles, using only new Pokémon.
5th gen OSTs are, also, pretty good, and I've seen a lot of people who say the same, some even saying its one of the best Pokémon has seen ever, but I think this is totally subjective, even though I really like it, and say it's memorable.
If I had to say something I dislike, is mythical Pokémon encounters. B/W started a trend I actually dislike a lot, making these Pokémon gifts at the Pokémon center, something rarely seen in previous generations, where, for example, you could get Darkrai, Shaymin and other Pokémon in special areas made for them.
Overall, Pokémon Black and White, in my opinion, are the best games in the franchise, and I totally recommend giving them a shot, if possible."
27,"
    fanmadeendings
  ","
    Feb 15, 2022
  ",8,"Really good main game, people will say it is linear, but that's just the layout of the map. The routes offer a satisfying amount of exploration, unlike Swsh, for example. It's only lacking in meaningful post game content."
28,"
    grimreapersims
  ","
    Feb 8, 2022
  ",9,....................................................................................................................................................................................................blank
29,"
    albegres
  ","
    Feb 5, 2022
  ",9,"85/100
The developers with this one tried to make Pokémon a little more mature and the result is the most interesting and captivating iteration of the franchise."
30,"
    Federx
  ","
    Jan 30, 2022
  ",1,"garbage. i regret purchasing it, even unworthy of being pirated. to this day the bottom of the barrel of the entire franchise"
31,"
    HildaSimp5
  ","
    Dec 29, 2021
  ",10,"When i first played Pokèmon White, it was an unforgetable time and i seriously had so much fun. Playing them again, they are still as good as i remember. The music is SO good and my favorite in the whole franchise, the character designs are fantastic, with highest quality waifus ever; Hilda, Skyla and Elesa. Both Hilda and Hilbert are the best avatars for the player in any Pokèmon, in my opinion of course.
Unova is a beautiful region made better with season changing. Unova`s routes are more linear now, but i can forgive it, cause they are expansive. Though Unova and its Routes does not match the glory of Hoenn, Sinnoh and their routes.
The new Pokèmon are like any other Generation for me. Some good, some that i truly love, some bad and some i hate, but only having new Pokèmon and placing older ones to post Elite Four made the games feel more fresh for me too and i loved it.
The sprites are amazing here too, i must say. The story is alot of fun and feels more significant. You can argue wheter its truly good or not, but i enjoyed it and thats all that matters. The post game once again allows me to explore new areas, which is all i ask for as post game for Pokèmon
For me, these games and their sequels are the definitive way to play Pokèmon. I could go on and on and on about how great these games are, but nah. I love them so much. Fun story, great music, wonderful region and a great new cast. White is my favorite Pokèmon game of all time.
Ill leave this review with an appeal:
Game Freak, please DO NOT REMAKE GENERATION 5!!! They are great enough as they are!!!"
32,"
    Speedie
  ","
    Oct 14, 2021
  ",7,"Story is a main focus for this game. Pokemon had been adding more and more story to their games up to the release of Pokemon White Version and this game delivered one of the best stories yet. It challenges many things that you think about the Pokemon world and treats you more like a true hero than a kid playing a video game. Almost all of the new content to this game is memorable and fantastic, especially the season changing feature, where the seasons in game will change every few weeks. Pokemon White Version also had the cleanest graphics and art out of all of the 2D Pokemon games to compliment its variety of music, moods, and events.

The reason this game falls a bit short is mostly its ambitiousness not quite paying off. The quick connection feature is something you rarely use, that Game Freak seems to have put a lot of time into. It seems like they wanted to expand into an online oriented game before moving the series to 3DS, when they should have waited for their next main series game instead. The ""triple battles"" was something I was so excited for when the game first came out, but I'm not sure I ever even used it.

Most of what Game Freak did for this game, was a massive leap for the series, but they tried to do too much, too fast. The game is definitely an exciting and engaging one, but too many features were a let down."
