,name,date,rating,review
0,"
    AreTho47
  ","
    Mar 26, 2024
  ",7,"Nice upgrade from black and white 2, but minor changes at best. Story was good. The new rival was also really memorable. Nice cutscenes."
1,"
    Juudaii
  ","
    Jan 4, 2024
  ",9,"Me gustó mucho, lo recomiendo enormemente, aunque los legendarios no me gustan mucho x'd"
2,"
    josecafe112
  ","
    Oct 19, 2023
  ",10,simplemente una obra maestra y el mejor juego de pokemon lo tiene todo contenido mucho historia complementaria nuevas zonas esta infravalorado y te va a chupar la pija simplemente cine
3,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",10,Treasure!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
4,"
    omfgkj
  ","
    Jul 21, 2023
  ",10,"In my mere opinion, it's the greatest Pokemon game ever created. Lovable characters, nice story, fluid and straight to the point gameplay, nice visuals, and the best of all: a rival that isn't a complete ****! Overall a great game."
5,"
    frightopia
  ","
    Mar 6, 2023
  ",10,Easily the most replayable Pokémon game in my opinion.  It's a sequel that fixed any of the potential flaws of the first!
6,"
    Satsoku
  ","
    Jan 6, 2023
  ",9,An amazing sequel to the original gen 5 games. Recommended to any fan of the series or genre.
7,"
    ProjectHMF
  ","
    Dec 24, 2022
  ",10,W game unlike the actual bullcrap they relase nowadays. Hope they dont ruin the damm game with a terrible 60€ remake.
8,"
    Murkrow067
  ","
    Dec 2, 2022
  ",10,"An immersive gameplay.
Full of different and enjoyable content.
Competitive battling experience.
Being able to create all kind of teams.
Story, characters, dialogs, all the places... everything was perfect for me.

One of the best Pokémon game out there."
9,"
    hector_bcn98
  ","
    Nov 7, 2022
  ",8,"No entendí la necesidad de hacer estas entregas, no sumaban el contenido necesario como para justificar otra compra. No podrían haber optado por la tercera entrega como se hizo siempre?"
10,"
    Toasttt
  ","
    Mar 26, 2022
  ",7,meh                                                                        .
11,"
    fanmadeendings
  ","
    Feb 15, 2022
  ",9,"The pokemon game with the coolest content, a relatively good story and the best battle screen! Only flaw: It could be a little more different mapwise from its original."
12,"
    grimreapersims
  ","
    Feb 8, 2022
  ",9,....................................................................................................................................................................................................blank
13,"
    Sheepsyhere
  ","
    Jan 30, 2022
  ",10,"This game is perfection, my favourite game of all time. Go play it, you will not regret it."
14,"
    greninjaX
  ","
    Nov 21, 2021
  ",10,"this seqeul isn't as good as the original White, but it's still one of the best pokemon games ever. unova is awesome"
15,"
    Pyronick
  ","
    Jul 5, 2021
  ",10,"Un diez de juego, gran contenido, buen postgame, retos desafiantes y la continuación orgánica de una de las mejores tramas de la franquicia."
16,"
    manuel812
  ","
    May 29, 2021
  ",9,JUEGAZO pero con algunos imperfectos lo mejor del juego es como perfecciona el mapa de la quinta generación mejora un mapa que era bueno y lo transforma en uno excelente después la historia pese a no ser tan buena como en el bw sigue siendo excelente con uno de los equipos villanos mas solidos y la dificultad es incluso mas pulida que en el bw solo siendo superada por la dificultad de la cuarta generación aparte que este juego cierra la evolución de la rival de bw
17,"
    halalgamer
  ","
    May 26, 2021
  ",9,"Another great Pokemon game. Holds very well as an sequel. Some animations were changed and it makes the battles more fun to watch. Story was great, but I think the first game did it better (probably nostalgia).
9/10 Great. "
18,"
    LordJazbin
  ","
    Apr 19, 2021
  ",6,"The game is good but tutorials are all around this game. Is by far the Pokémon game with the longest tutorials of all time.

Story is dull and almost nothing happens. But it has good soundtrack, big region and good postgame, main story is pretty short though."
19,"
    Sciza
  ","
    Jan 1, 2021
  ",9,"as a big fan of the pokemon series, this is best pokemon game ever. the lore and the gameplay are amazing. unfortunately this is the last pokemon chapter with an interesting lore :("
20,"
    evelio28
  ","
    Aug 9, 2020
  ",6,"Juego Decente, aunque con algo de cagado entra en su Historia y Personajes (Aunado a los otros problemas de su Precuela)"
21,"
    Laught468
  ","
    Jul 21, 2020
  ",10,"Si ya pokémon Blanco y Negro fueron de lo mejor que nos ha entregado pokémon, en mi opinión Pokémon Negro 2 ya roto ese molde y se corona en mi opinión como el mejor videojuego de pokémon hasta la fecha. Nuevas e increíbles rutas además de re encuentros con viejos personajes, utilización explendida de cada recurso que tiene y un Post game fenomenal, el mejor de todos los juegos de pokémon junto con lo que fue el post game de Pokémon Heart Gold y Soul Silver. La nueva banda sonora, los nuevos personajes y la vuelta a la región de pokémon anteriores, junto a una historia más que divertida son cosas que elevan a estos juegos a ser más que simples terceras versiones. Por todo esto y muchísimo más es que estos me parecen los mejores juegos de la saga."
22,"
    nochianand
  ","
    Jul 2, 2020
  ",9,"Probably my favourite pokemon game. Although the new Pokemon aren't that interesting, the story is actually not hot garbage this time and the difficulty is also not that easy."
23,"
    Maxttvd
  ","
    Jun 22, 2020
  ",7,"Abaixo de seu antecessor, esse Pokémon é muito CNTL C CNTL V, de pior qualidade"
24,"
    16shoota29
  ","
    Jun 20, 2020
  ",10,"This game is amazing, it’s the best Pokémon game that exists. The story, gameplay, and music all come together to make a memorable experience that will make you love the tiny cartridge this amazing games kept on. I have a feeling people write this game off just because it’s a Pokémon game, but it truly has one of the best osts ever, and the gameplay loop doesn’t get annoying unlike more recent entry’s in the series and even genre, if for some reason ur reading this in 2020 and STILL haven’t played this magnificent game I highly recommend u do so"
25,"
    ThePSButton
  ","
    May 31, 2020
  ",8,"La trama principal pudo ser mejor, pero White 2 está sin duda entre las mejores versiones de la franquicia, con una oferta de contenido bastante atractiva, técnicamente precioso y con un Pokémon Wolrd Tournament fantástico."
26,"
    AV_Lazy
  ","
    May 6, 2020
  ",10,Pokemon white 2 is hands down the best Pokemon game to me. The game is filled with Pokemon and lots of my favourites are from this game. The music is amazing having the best soundtrack (in my opinion) to the point where there are memes about how it is so good. The characters have all either been really good new additions or upgraded from B&W 1. There's a lot to do in the post game with the PWT and the version exclusive cities. Overall an amazing game and was the peak of Pokemon's quality.
27,"
    Azuris
  ","
    Feb 2, 2020
  ",10,"This is really the best Pokemon Edition that exists.
It has a good Soundtrack, well drawn animated Sprites, good Gameplay and something newer Editions don't have: A Real good Endgame.

Arena Tournaments, the **** to fight and level etc."
28,"
    DavidLFen
  ","
    Jan 19, 2020
  ",10,"Es lo último juego genuinamente bueno que nos ha dado la saga, continúa la historia de su precuela y ata los cabos sueltos, también está repleto de contenido y tiene una buena dificultad, lamento profundamente que a causa de la ingrata comunidad de Pokémon, la saga fuese cuesta abajo"
29,"
    flamingfox01
  ","
    Dec 13, 2019
  ",10,"A decade after and B2W2 remains the best Pokémon game, it's the one with more content overall, more than a dozen stuff to do aside from the story, and the only one with true version exclusives aside from 'mons, and it's the only Pokémon game with a difficult mode,
It was sadly accused of being just another third version, and many people did not even try it, and the Gen as a whole was judge by Pokémon design alone, when it has the best story and characters from the franchise, and had one of the best VGC and competitive play,"
30,"
    QuarterLife
  ","
    Nov 15, 2019
  ",9,"GameFreak's best so far. Hard mode, new monsters forced upon you to keep it fresh, expansive end-game, good story for a Pokemon game. This is the headspace GameFreak should have been in with their latest titles."
31,"
    DeltaHaven
  ","
    Nov 13, 2019
  ",8,"A fitting sequel to Pokemon White version, offering a new story, new characters , an expanded region, an expanded regional Pokedex including Pokemon from past generations that are available to catch and train, and overall a lot more content and a challenging endgame for players to enjoy."
32,"
    robertoiglesias
  ","
    Oct 19, 2019
  ",10,[SPOILER ALERT: This review contains spoilers.]
33,"
    ATTin
  ","
    Jun 1, 2019
  ",9,"Story: 9, Gameplay: 9, Graphics: 9. Better than BW, but stil not as awsome as HGSS, and of course one of the best Pokemon game"
