,name,date,rating,review
0,"
    Nevbear1206
  ","
    May 3, 2024
  ",9,"A great Pokemon title and an incredibly nostalgic game that I watched countless hours of and collected all the cards from before actually getting my hands on it myself. The visuals are great and hold up nicely, making for a smooth transition from 2D to 3D graphics and legitimately looking much better than the recent Switch titles. The new Pokemon are all great with fun moves and abilities, and the addition of the Fairy type was genius. The addition of Mega Evolution is even better, making for insanely cool Pokemon alterations and animations. The exploration is decent with some fun puzzles, although I was never a fan of how TMs functioned in the overworld. The gyms are aesthetically pleasing and mostly clever as well. The majority of this game is too easy for sure until the late and post-game, making for some fun challenges. The supporting characters are all great and fit nicely within an interesting narrative with amazing lore. Anyone offset by cheesy writing or moments should play the campaign through since the post-game missions are phenomenal in every aspect. Fast travel allows for easier completion and exploring the city of Lumiose is genuinely immersive, even making for some cinematic moments. I look forward to my future with what is so far my personal favorite Pokemon title."
1,"
    Ventu
  ","
    Apr 25, 2024
  ",9,"Pokemon X fue el juego que me hizo volver a la saga principal después de varios años sin jugar ninguna entrega. Es una generación con buenos diseños, historia entretenida y, en líneas generales, me pareció tener mucho emcanto. Artísticamente y técnicamente es muy bueno. Si nunca lo jugaste recomiendo darle una oportunidad para conocer su mundo y lore."
2,"
    Agrisis
  ","
    Mar 3, 2024
  ",7,It was really average but nostalgia made me to put a little bit more into rating this one:)
3,"
    Rafky02
  ","
    Feb 21, 2024
  ",7,Esto es un texto que necesito colocar para que el juego aparezca en mi perfil.
4,"
    Waroi
  ","
    Feb 16, 2024
  ",9,"The grainy 3D graphics that marked Pokémon's first entry into the 3D era are perfect. Although X/Y is a game that's far too easy, the sense of adventure and friendship that Pokémon is so loved for is all here."
5,"
    Juudaii
  ","
    Dec 28, 2023
  ",9,"Serían mis favoritos de siempre, pero el nivel de dificultad es demasiado bajo, no pido un reto imposible, pero al menos una curva de dificultad satisfactoria."
6,"
    JLGroudon
  ","
    Nov 7, 2023
  ",8,It has good gameplay and music but the rivals and uninteresting story is decent but nothing special and the evil organization is  kind of meh
7,"
    ARHaslage
  ","
    Oct 26, 2023
  ",10,"The main series of Pokemon games have never suffered from not being re-playable.  It is part of why Pokemon games have a higher resale value than some others.  The truly dedicated players out there keep every copy of Pokemon that they have obtained, which makes for slim pickings in the pre-owned Pokemon inventory of some stores.  Perhaps the two biggest selling points of Pokemon X & Y are the over 60 new Kalos region Pokemon and the mega evolutions.  The increased size of the Pokedex appeals to the collectors while the mega evolutions appeal to the competitive players.  All in all, these games are worthy of a Pokemon player's attention."
8,"
    josecafe112
  ","
    Oct 19, 2023
  ",9,juego muy gog
9,"
    Suprah
  ","
    Oct 18, 2023
  ",5,"Boring. A poor story, an even worse cast/companions, a terrible champion, and horribly low difficulty. Overwhelmingly mediocre."
10,"
    J0nathan
  ","
    Oct 14, 2023
  ",8,Rating: 81
11,"
    flavioxy91
  ","
    Oct 11, 2023
  ",9,"Great succession of the Pokemon games on the 3DS, just the way I imagined."
12,"
    Topoide
  ","
    Sep 11, 2023
  ",8,Es un buen juego de pokemon y el añadido de la megaevolucion suma mucho pero ademas de eso no tiene mucho contenido
13,"
    TreasureOrTrash
  ","
    Sep 8, 2023
  ",0,Trash!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
14,"
    fnenamg
  ","
    Sep 8, 2023
  ",5,This game is virtually unfinished. There's just too           much missing.
15,"
    M1sfiT
  ","
    Sep 3, 2023
  ",7,Gaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaameeeeeeeeeeeeeeeeeeeeeeeeeeeeeees!!!!!!!!! pX
16,"
    Visitbr
  ","
    Aug 31, 2023
  ",9,"sem sombra de duvida o melhor pokemon de todos, ele usa o 3d de maneira incrível, a região de kalos é fenomenal"
17,"
    AJCk19
  ","
    Aug 2, 2023
  ",8,"Everything was great about this game, but it still lacked being challenging. It was far too easy, can you at least give us a difficulty setting?"
18,"
    sathvik_
  ","
    Aug 1, 2023
  ",5,This is where these games started deteriorating in quality. I used to think this was good but now that i gave it a re run its pretty mid
19,"
    kingmike1908
  ","
    Jun 25, 2023
  ",8,The story was good loved the towns and the main city was rly cool. don't have much negative things to say about the game but it  was so **** easy with mega evolutions making the game beatable even if u where a 2 year old.
20,"
    AnthonyStf
  ","
    Jun 18, 2023
  ",7,"Probably the easiest pokemon game but It's still very fun.
ORAS Better

------
""AnthonySTF will be going away to far ne land from hear that? If you dont hear it"""
21,"
    JasonFajardo
  ","
    Jun 2, 2023
  ",8,"This game is great for casual people who wants to go through the Pokémon franchise. The difficulty of this one it's kind of a theme in the Pokémon community with most of them claiming that it's way too easy but i think that's not a bad thing. As i said before the game it's perfect to make new people interested in the franchise. The 3D makes the game look great, Kalos it's a beautiful region and probably has the best map of all principal games. The looks of the towns with the atmosphere it's also beautiful, the 69 new Pokémon doesn't look as bad as the Unova's ones, of course there's some that are just bad like Barbaracle but in every Pokémon game there's at least three or four designs that ****. In general this game it's a great experience if you want to relax and have fun."
22,"
    miguellopez99
  ","
    Jun 1, 2023
  ",8,"76/100 super underrated, wish there was more postgame though. or a pokemon Z.                                                                         ."
23,"
    RatingRating
  ","
    May 28, 2023
  ",3,"The only reason I am giving it a rating as high as 3 is because this gave Game Freak some experience towards making better 3d games. These games in everything were bad. They were way too easy, I do not remember the post game at all, They give yo a billion starters and worst of all, you do not even fight a Mega Evolution until Lysandre... LYSANDRE!!! The Elite Four also do not have any Megas and ya don't fight one until the champion!?!? The new gimmick was completely overshadowed, even though it was a solid gimmick. It also was a shame because they did not put Mega Evolutions in the story. Imagine a game where scientists try to evolve Pokemon even further than Mega Evolution, and you have to stop them and at the end, fight an even more difficult boss (Probably Charizard because it is Game Freak's favorite child). I know it would have taken a lot more time to make, but instead of ORAS, they could have given us this. But the Pokemon were very cool. Trust me, it took me very long to not give this game a 5, just because it had Mega Gengar."
24,"
    NylonYT
  ","
    May 11, 2023
  ",7,"This is an alright game though I think again, Pokemon isnt for me. Every pokemon game starts off wonderfully but after like the 3rd gym, it becomes a repetitive slog, though I at least got to around halfway through the game before I put this one down."
25,"
    Garde_Mystik
  ","
    Apr 27, 2023
  ",9,"Pokemon XY + ORAS allowed you to complete the entire Gen 6 National Pokedex, all the way up to 721 (after mythical events). The competitive scenes were absolutely revolutionary for their time. Gen 6 featured a bigger Smogon than ever and the two most recognizable VGC tours to this date. The Vs. Recorder was a sandbox that allowed you to create matches against AIs in any way you wanted. This worked especially if you had 2 consoles with 2 compatible games. Gen 6 had the best online system to this date with the PSS having extremely convenient interface. Gen 6 introduced 3D models and advanced interaction with your Pokemon, allowing you to connect with them more. The 3DS games had some of the deepest lore in the series to talk about with other people. Super Secret Bases in ORAS ensured the Hoenn region was kept alive with something new and refreshing potentially coming every day. The introduction of megas were amazing and they gave the series so much life. This mechanic aimed to focus more on connecting the player to the Pokemon they have, unlike Dynamax and Terastallization. Gen 6 also expanded on shinies to make them more feasible to obtain, which gave rise to a dedicated shiny hunting community. Gen 6 was a time where the entire Pokemon community was at its most united since Gen 1, all because it mastered the fundamentals of what made Pokemon stand out while also leaving a lot to play with and discuss. You could really catch them all and aim to be the very best, like no one ever was.

I'm putting this up just for X in case I want to use Y to elaborate on my thoughts on XY specifically. atm I just wanted to give this game a score. I didn't give this game a 10, because in most aspects, Omega Ruby and Alpha Sapphire outclass them and these games lack extra content in comparison to your typical upper version or remake games prior to Gen 8. They're still quite useful for collecting Pokemon in a way no other Pokemon game as of current can achieve and alongside Sun and Moon, are the best Pokemon games to introduce a generation."
26,"
    Jesus_Saves
  ","
    Apr 19, 2023
  ",6,[SPOILER ALERT: This review contains spoilers.]
27,"
    Beatsaberzzz
  ","
    Jan 31, 2023
  ",7,"As someone who played this game 10 years after it was released I have to say it is amazing. The story is so cool, the implementation of mega evolution was awesome, and even for a 3ds game it looks so good. However it is really easy which is something I do not appreciate with the newer pokemon games but if you can get past the super easy battles then this game is so cool and you should definitely try it."
28,"
    ND-Bringer
  ","
    Jan 18, 2023
  ",5,[SPOILER ALERT: This review contains spoilers.]
29,"
    SlowbroLin
  ","
    Dec 23, 2022
  ",10,"Best Pokemon game ever! The graph is awesome. And the Mega Evolution is a genius idea, make the battle more funny!"
30,"
    Elveroliveira1
  ","
    Nov 9, 2022
  ",9,"This game is spectacular from start to finish, in addition to being the first pokemon game in 3d, it introduces a new mechanic that makes old pokemons even cooler and more interesting for new players and for those who have been following for a longer time. mechanics are introduced, but in my opinion the first is the most important and the mega evolution one was perfectly introduced and the graphics at the time were the best, the mix of generations and also the escape from the generic were very well incremented, for example: in every generation the characteristics of the trainer were always the same and in this for the first time the players could change the appearance of the trainer at will, also in all the games the famous bicycles were obtained in the same way and they were the only means of transport we could have access whenever we wanted, in this one we have skates, cars and bicycles. Now, the best point of this game is the gameplay, the gyms, the battles, the scenarios and the main villain are incredible. is to accompany and face. Definitely one of the best pokemon games ever and one of the best 3ds platform games."
31,"
    hector_bcn98
  ","
    Nov 4, 2022
  ",7,"La historia es la misma de siempre, te acompañan niños de 6 años con algún que otro problema en la cocorota... Demasiado infantil... y fácil. El más fácil de la franquicia, haciendo que no llegue a comprometer al jugador casi en ningún momento y hasta aburra. La entrada a la franquicia a las tres dimensiones fueron decepcionantes y la jugada se volvió a repetir en Switch. Qué pena."
32,"
    ZangBang
  ","
    Oct 24, 2022
  ",3,"36/100
Pokémon X marks the beginning of Pokémon's 3D era, and the game takes advantage of that with more cinematic shots, the introduction of character customization and a feature that after almost 20 years of franchise finally allows players to pet and feed their Pokémon, leading to the most immersive Pokémon experience yet. Ironically enough, X is also the least interesting Pokémon adventure since Red and Blue, with a storyline full of the same plotpoints that the series has been recycling since the third generation, lacking the character depth of the fifth generation or the mythological depth of the other ones. Kalos lacks the defined identity of the previous regions, being thematically less focused, and yet the journey through it remains decently enjoyable to its grandiose cities and enchating towns immersed in a naturally and artistically luxurious aura emphasized by its orchestral, regal musical pieces. Megaevolutions attempt at revitalizing the repetitive core gameplay formula, but the novelty of it quickly wores off since only a handful of Pokémon can benefit from it, but especially because the game is so insultingly easy that you'll never really need to Megaevolve any of your Pokémon, leaving the repetitive formula of the series devoid of the challenge that made it worthwhile. Level Design, although visually creative, is significantly less deep than the previous games, with an extremely streamlined map structure that rarely gives any meaningful explorative freedom. All of this is aggravated by a meager postgame content that doesn't offer anything significant."
33,"
    Clean
  ","
    Oct 10, 2022
  ",0,"Pokémon X and Y were when the series jumped the shark (or the Sharpedo, to remain in-theme).
-Started gen 1 pandering (starters and most mega evos being from Kanto)
-Removed some of BW/BW2 ideas and QoL improvements.
-Linear with low difficult level
-Poor postgame
-Bad story and characters. BW's mature themes are still here, but it generally feels two step backwards compared to gen 5.
-Very incomplete, both in content and story. It still makes me angry that despite the mysteries and hints we never got an XY sequel, with GF making **** ORAS and skipping straight to gen 7.
I hate it so much I even deleted my 6 year old save data with over 400 hours in it to avoid bad memories."
34,"
    Sinnoh-best
  ","
    Sep 29, 2022
  ",10,"While not perfect, I love it!!! As my 1st Pokemon game the nostalgia in here! A great game!"
35,"
    FireBroFilms
  ","
    Aug 15, 2022
  ",7,‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎
36,"
    Don_Tano
  ","
    Aug 12, 2022
  ",9,"The first pokemon I played and I really loved it, classic RPG combat system and very well adapted for pokemons, a very wide and complex table of types that makes the game more dynamic, a fairly large map full of npc' s and items to get, the graphics are very good for its time, the soundtrack is also very good and the only thing I didn't like was the story, simple and childish but the game is very good"
37,"
    GDsReviews
  ","
    May 27, 2022
  ",1,"Pokemon X and Y are absurdly easy and hollow games, and was shocked by how easy they were to beat. These games introduce the first new type since Gen 2 in Fairy, and the Mega Evolutions that combined upend 5 generations of continuous and logical improvements to the mechanics of the games. After doing an easy blitzkrieg through the game, it then grinds to a complete halt with nothing else to do for the most part. Only thing great about this game was the soundtrack."
38,"
    BaldursThones
  ","
    Apr 15, 2022
  ",6,This game is a decent pokemon game and it introduces fairy types and one of my favourite legendries. There is a lack of end game content though when catching legendries.
39,"
    yangfanhong
  ","
    Mar 27, 2022
  ",8,It’s a great game. While it’s a pity that it’s not full 3D-display and there’s too few Legendary Pokémon.
40,"
    fanmadeendings
  ","
    Feb 15, 2022
  ",7,"A bit bland, but definitely fun main campaign, yet a really lackluster post game. There was a lot of novelty in seeing all the pokemon in 3D for the first time, but after this game, pokemon games unfortunately lost their visual distinctiveness"
41,"
    Ronni_the_red
  ","
    Feb 8, 2022
  ",9,[SPOILER ALERT: This review contains spoilers.]
42,"
    grimreapersims
  ","
    Feb 8, 2022
  ",9,....................................................................................................................................................................................................blank
43,"
    Federx
  ","
    Jan 30, 2022
  ",8,"the best online infrastrufture the series ever had, and it's stuck on the goddamn 3ds."
44,"
    Teddy10
  ","
    Jan 27, 2022
  ",8,"Very good and fun to play. The graphics were
quite good for 2013 and the gameplay was good. The game was a bit too easy and your pokemon would level up really fast. Overall a very good game."
45,"
    GenkiYokota
  ","
    Jan 27, 2022
  ",10,"The introduction of the beautiful main saga to 3D, and a glorious update of the foundations of Pokémon.
The most user-friendly competitive was founded, and the way of combat became richer from now on."
46,"
    Equiixxx
  ","
    Jan 26, 2022
  ",8,"I didnt enjoy a pokemon game like this since Pokemon Rubi and saphire. Very good! graphics got really better, protagonists design are not dull, i loved Yveltal design, we need more intimidating legendaries. Also a full team of kids is interesting. Wish they developed more megaevolutions instead of that horrible gigamax thing."
47,"
    Roberino
  ","
    Nov 18, 2021
  ",10,[SPOILER ALERT: This review contains spoilers.]
48,"
    Pineapples2329
  ","
    Jul 30, 2021
  ",6,"I bought a 3ds for this game, and i wasn't disappointed. i loved this game. and it was my first pokemon game. sun and moon, oras, black and white, and diamond and pearl are just LEAGUES above this. its literally so easy i could beat it with my eyes closed. it discourages you from using new pokemon by giving you lucario and gen 1 starters for free, and its overall disappointing after playing the others. i recommend buying a different pokemon game."
49,"
    manuel812
  ","
    May 29, 2021
  ",3,el comienzo de la decadencia de pokemon primero de todo la historia de este juego es la 2nda peor de la historia sin contar espada y escudo el equipo villano es lamentable y patético lo único bueno de la historia es el final que es bastante emotivo sin embargo este es el juego MAS FACIL de la franquicia por el peor repartir exp de la historia el diseño de las rutas fue el peor hasta que llego sol y luna ya que son super simples lo único bueno de este juego son los gráficos ya que siendo sinceros aunque tengan algunos errores se nota el esfuerzo de crear 700 modelos 3d nuevos de pokemons y las megaevoluciones que posiblemente sea la mejor y mas desperdiciada idea de pokemon
50,"
    halalgamer
  ","
    May 26, 2021
  ",6,"It maybe was a big transition to 3D Pokemon, but it wasn't really the greatest transition. The animation of the game was good. Especially for the 3DS hardware. The story was bland as hell. I still remember skipping a lot of the dialogue with the NPCs since it wasn't really interesting. In my opinion this game was a downgrade from the previous generations.
6/10 Good. "
51,"
    LordJazbin
  ","
    Apr 19, 2021
  ",6,"Great jump to 3D! But... Meh in almost every other aspect. Pokémon designs are great this time around, region is good and customization too but: Story is as bad as before, similar to Diamond and Pearl bad storytelling. The level curve of these games are on pair with Gold and Silver being the worst in the franchise but this time making the game awfully easy, postgame is almost inexistent just like in Sword and Shield."
52,"
    Oreun
  ","
    Apr 15, 2021
  ",7,"Decent game that lacks behind a bit compared to older Pokemon games. Still recommended either way :D

Un juego decente que, aunque se queda un poco atrás comparándolo con otros juegos de Pokémon, sigo recomendándote que juegues."
53,"
    Worthyadvice_
  ","
    Mar 19, 2021
  ",8,[SPOILER ALERT: This review contains spoilers.]
54,"
    omniface
  ","
    Mar 9, 2021
  ",7,"a good game but not too redeeming

pros
good graphics
great mechanics
the second best elite four
amazing pokemon

cons
elite four two or three
graphics are not perfect
pokemon are good but not amazing
added features dont do it justice compared to previous and future titles"
55,"
    ZeroBacon
  ","
    Oct 7, 2020
  ",8,"Although it’s not the best, it’s still just okay. The gameplay isn’t that fun, the characters are terrible, the story is bad, having the anime redeem it, and the game is way too easy. It’s not easy because they buffed the exp share, but because the people you fight, the elite four, champion, and everyone else just have terrible Pokémon with terrible moves. Bad post game, and it’s just not really fun to come back to. Its only redeemable quality is the dress-up stuff, and the music. The music is pretty great, up there with gens 4 and 5."
56,"
    GamePlayer77
  ","
    Sep 20, 2020
  ",7,"A revolutionary step in the direction of Pokemon, but not without its flaws. It Introduced us to new mechanics, 3D Pokemon models, but lacked in some areas. Despite these few nitpicks, it brings a great experience to Pokemon that everyone should try."
57,"
    Kalven_Bruh_Boo
  ","
    Sep 14, 2020
  ",0,"Worst game I have ever played no good parts of it, super linear, 1 good starter, uncreative pokemon, barley any new pokemon, team flare **** and no good graphics. forgot to mention no post game"
58,"
    HarryFernandes
  ","
    Jul 21, 2020
  ",8,A realy fun pokemon game with a great introduction in mega´s but a poor story and weak supporting characters in my opinion
59,"
    ElCaptain
  ","
    Jul 19, 2020
  ",4,Honestly this is Gamefreak at their absolute worst. Bare minimum pokemon game but still passable
60,"
    OrangePlasma
  ","
    Jul 16, 2020
  ",7,"I dislike the characters in this game. Maybe there are too many main ones, but only one, Serena, really feels like she has an arc. Everyone else just feels like filler to me. However, this game has the same great gameplay as I've come to expect, and easily the most expressive world on it's release."
61,"
    ECZTheHunter
  ","
    Jun 21, 2020
  ",1,"I'm just going to make this brief. This game ****. (imo). I have played every single pokemon generation to date, and X/Y is the only gen I wish never to replay. The roster of new Pokemon was INCREDIBLY lacking (like around 70 not counting megas, and gen 5 introduced 156), making it the smallest roster of Pokemon up to that point... actually I think that's still the case. I found myself only liking 2 of the 'mons - Hawlucha and Delphox. The villanous team is probably the worst one to date, all the rivals had almost zero personality (if any), the gym leader roster is at a series all time low, and that hasnt changed, the champion **** (I literally refer to them as ""Mr./Ms Nobody, that's how forgettable they are), megas were horribly unbalanced, sky battles and horde battles were meh additions, among other problems. I do not reccomend this game, at all. Play gens 4, 5, 7, or even 8."
62,"
    alanwaketan
  ","
    May 1, 2020
  ",9,宝可梦系列无须赘言，核心要素基本一致。本作可以说是相当革命性的一作。视觉上，本作裸眼3D真的是用得十分得当。尤其是过场动画做得相当出色。精灵上，本作引入了妖精系。对战上，本作增加了颇受好评的百万进化。这三点都可谓是相当革命。剧情上延续了黑白的精品路线不再是头几代平铺直叙且直白的剧情。真要说的话，这可以说是最出色的宝可梦作品之一。
63,"
    Minemon106
  ","
    Apr 28, 2020
  ",8,[SPOILER ALERT: This review contains spoilers.]
64,"
    Jgbmax
  ","
    Apr 19, 2020
  ",7,"The game is overall okay. I’d like to give huge applause for the visuals though. The 3Ds of the pokemon were wonders. Sadly it is lacking of challenge. A bit too easy and spoiled. Easy level ups, and hack theres too much free OP pokemon given along the main plot. And the fact that its so ez to get money and that i became so rich in this game (almost 1 million poke dollars) along the main plot is making nice items such as full restores, revives, and battle items highly affordable at huge amounts, making battles really easy. But okay its a nice pokemon game. For a pokemon huge fan i’d still recommend this game to another pokemon fan tho. It’s just too easy for a person who already knows much about pokemon."
65,"
    Carny
  ","
    Apr 2, 2020
  ",9,"My first Pokemon game was Black 2, and I didn't beat it because I got stuck at the 4th gym. Honestly didn't have a good time with the game. X is the absolute best Pokemon game to date. With actually interesting characters, Pokemon that are appealing to catch, and new features make this game an adventure from start to finish."
66,"
    Denvers
  ","
    Mar 29, 2020
  ",9,"Pokemon X is the only Pokemon experience you will ever need. To this day, it is the peak in the Pokemon franchise due to its wonderful world, slightly-above-average story, and innovations compared to previous installments. If you are going to play any Pokemon game, this is the one."
67,"
    JP_Wilde
  ","
    Mar 22, 2020
  ",9,"after many years, I managed to play this game, I didn't play Pokémon for years and I knew that this generation would be the best to return to play.
Pokémon X was a beautiful experience for me, I had so much fun, as I skipped several generations, I don't know if they repeated many things from previous games, after all, I haven't played Pokémon since the Ruby version.
It was an excellent game for me."
68,"
    MadnessisRising
  ","
    Jan 17, 2020
  ",9,"Absolute beautiful game. Great atmosphere, awesome soundtrack, cool map. Overall great design and total fun to play! ""Only"" 9/10 because it was way too easy. (At least with the EP-sharer)"
69,"
    BastiBlank
  ","
    Jan 16, 2020
  ",8,"-80-
It was a very nice Pokémon experience that was refreshing in some ways and tedious in others. I found the map to be way too large and the second gym way to far away from the first. Else way the game is very much enjoyable, although way too easy if played normally. The new Pokémon are mostly cool and I really like the 3D environment, which I wouldn't have expected beforehand. Overall, well made, a little laggy sometimes, a little boring sometimes, fun and chill. That's all, I just enjoyed being able to play a new generation again."
70,"
    KegMinami
  ","
    Dec 31, 2019
  ",5,"While one of the most visually pleasing games on the 3DS, Pokemon X and Y are fairly bare-bones as far as Pokemon games go.
If there's one thing I can say is really good about this game, it's the region. Some will say it's kind of a **** but I for one really like the seasonal progression of the game. It allows for some fantastic and extremely memorable routes. Additionally, Mega Evolution is a fun mechanic, and it was great seeing some of my favorites that weren't really strong, like Mawile and Houndoom, turn into absolute powerhouses.
But that's about all the praise I can give these games. Sure, the Pokemon formula still works here, but there's just not much. There's basically nothing to do once you complete the main story. No new areas to explore, no Battle Frontier, nothing. Just the Friend Safari and the Battle Tower and that's pretty much it. Additionally, once you get through the around the third or fourth Gym, the pacing in the game decides to crank up to a breakneck pace. It's a bit disappointing, since I felt the pacing before than was fairly good. There was a lot to see and explore, but once you get back to Lumiose it's a mad dash to the finish line.
As stated before, it's a very bare-bones Pokemon experience, which isn't necessarily ""bad."" I just feel like these games, the only pair in the series thus far to NOT get a third version, are the ones that would have benefited most from one."
